ID,A1_A,A1_B,F1_A,F1_B
LOC104879287,795.2932366,561.8520894,608.0029591,482.4787204
LOC100259472,207.894163,298.7966582,171.3325047,138.2434284
LOC100257674,579.5540109,628.3307717,930.9571493,859.6727106
LOC104879282,1757.294057,842.7781341,348.7298768,379.025029
LOC100254292,2254.474909,2644.850802,3085.501301,3348.969942
AP1,194.1653031,117.9460493,171.3325047,72.32603209
LOC100232936,12.74822697,10.00754358,15.16216856,9.155193936
LOC100266436,204.9522644,167.9837672,251.691998,304.8679581
LOC100245772,1314.048011,1446.804871,847.5652223,849.6019973
LOC100268093,60.79923634,92.92719036,48.51893938,43.0294115
LOC100256140,2341.751232,2351.057916,1878.592684,1789.840415
LOC100257818,25.49645395,31.45227981,15.16216856,20.14142666
LOC100250986,3668.54747,1686.271093,3235.60677,2667.823513
LOC100252672,312.8218773,394.5831467,298.6947205,283.811012
LOC100247573,1325.815605,1060.084795,1896.787286,1664.414258
LOC100245849,2140.721499,1967.911962,1285.751894,1051.931783
LOC100242441,347.1440268,673.3647178,200.1406249,177.6107624
LOC100259261,892.3758881,771.29568,718.6867895,558.4668301
LOC100267868,1173.817514,1163.734353,1895.271069,1951.887347
LOC100249034,104.9277143,142.9649082,25.77568654,52.18460544
LOC100257592,8037.26679,4668.519079,4791.245264,5115.922371
LOC100262720,86.29569028,196.5767488,406.3461173,450.4355417
LOC100266204,1450.355976,1363.885225,2145.446851,1900.618261
LOC100250757,1760.235955,1817.798808,368.4406959,384.5181453
LOC100245623,1106.153848,1908.581525,1290.300544,1059.255938
LOC100854554,1022.800056,1740.597758,617.1002602,663.7515604
LOC100854459,29.41898532,37.17087614,27.2919034,32.04317878
LOC100262794,444.2266784,348.8343761,354.7947442,380.8560677
LOC100257668,336.3570655,392.4386731,327.5028408,408.3216495
LOC100252537,591.321605,492.5141089,207.7217092,260.9230272
LOC100854391,262.8096022,346.6899025,254.7244317,334.1645787
LOC100247428,281.4416263,468.924899,168.300071,213.3160187
LOC100242289,652.1208413,450.339461,413.9272016,467.8304101
LOC100264579,145.1336609,157.2613991,194.0757575,180.3573205
LOC100259407,70.60556478,77.91587499,144.0406013,99.7916139
LOC100252466,188.2815061,508.2402488,245.6271306,194.0901114
LOC100247350,1004.168032,1033.636287,1225.103219,1198.414886
LOC100254284,309.8799787,308.8042018,95.5216619,91.55193936
LOC100242217,7498.899359,4475.516453,9932.736621,9125.897315
LOC100249185,2449.620845,1959.334067,2615.474076,2772.192724
LOC100264496,378.5242778,355.267797,183.4622395,184.0193981
LOC100259322,92.17948735,101.5050849,24.25946969,13.7327909
LOC100853084,492.2776877,295.9373601,78.84327649,97.96057512
LOC100254211,1785.732409,1529.009694,2106.025212,2033.368573
LOC100244013,155.9206222,175.8468371,89.45679448,94.29849754
LOC100243945,1837.70595,2055.835381,1481.343868,1557.298489
LOC100261141,1371.905349,1339.58119,1714.841264,1875.899237
LOC100256055,69.62493193,78.63069953,77.32705963,65.00187695
LOC100249104,34.32214954,71.48245412,3.032433711,0.915519394
LOC100266271,7991.177047,3802.151735,3262.898673,2409.647044
LOC100261061,4587.400445,8154.003542,2729.19034,2227.458685
LOC100250913,581.5152766,855.6449758,708.0732715,644.5256531
LOC100245765,26.47708679,40.03017431,27.2919034,4.577596968
LOC100262937,915.9110764,1155.156459,912.762547,1073.904249
LOC109122923,237.3131483,107.2236812,112.2000473,130.9192733
LOC100257811,181.4170762,280.2112202,169.8162878,130.0037539
