ID,CO_A,CO_B,A1_A,A1_B
LOC104879287,707.7658939,838.7177141,888.6426892,633.0656482
LOC100259472,352.2960279,174.6457086,232.2962393,336.6685
LOC100257674,1166.914471,1231.932004,647.580554,707.9703623
LOC104879282,306.8043486,259.3541061,1963.560665,949.5984723
LOC100254292,3270.111178,3519.058738,2519.099313,2980.080023
AP1,119.5479014,187.1951008,216.9559217,132.8954605
TRNAI-AAU,11.63740633,31.37348058,4.382947912,3.221708134
LOC100266436,244.3855329,185.1035354,229.0090284,189.2753528
LOC100245772,1081.220842,865.908064,1468.287551,1630.184316
LOC100261225,11.63740633,2.091565372,16.43605467,12.88683253
LOC100268093,45.49167928,49.15178624,67.93569264,104.7055143
LOC100256140,1799.566197,1624.100511,2616.619904,2649.049513
LOC100257818,13.75329839,21.96143641,28.48916143,35.43878947
LOC100250986,2815.194385,3506.509346,4099.152035,1900.002372
LOC100252672,342.7745137,395.3058553,349.540096,444.5957224
LOC100247573,1755.132463,1870.905225,1481.436394,1194.44829
LOC100245849,1269.535236,1428.539149,2391.993823,2217.340623
LOC100242441,198.8938536,241.5758005,387.8908902,758.7122654
LOC100259261,737.3883828,884.7321523,997.12065,869.055769
LOC100267868,2476.651656,2533.931448,1311.597163,1311.23521
LOC100249034,97.33103474,67.97587459,117.2438567,161.0854067
LOC100257592,4529.066954,4538.696857,8980.660272,5260.243955
LOC100262720,373.4549485,376.4817669,96.42485407,221.4924342
LOC100266204,2862.801957,3074.601097,1620.594991,1536.75478
LOC100250757,557.5375577,483.1516009,1966.847876,2048.200946
LOC100245623,1472.660873,1615.73425,1235.991311,2150.490179
LOC100854554,728.9248145,703.8117476,1142.853668,1961.214826
LOC100854459,49.7234634,32.41926326,32.87210934,41.88220574
LOC100262794,495.1187419,451.7781203,496.3688511,393.0483923
LOC100257668,507.8140943,504.0672546,375.8377835,442.1794413
LOC100252537,379.8026247,341.9709383,660.7293978,554.939226
LOC100854391,252.8491011,354.5203305,293.6575101,390.6321112
LOC100247428,420.0045738,300.1396309,314.4765127,528.3601339
LOC100242289,512.0458784,508.2503854,728.6650904,507.419031
LOC100264579,244.3855329,286.544456,162.1690728,177.1939473
LOC100259407,90.98335856,125.4939223,78.89306242,87.79154664
LOC100252466,158.6919045,260.3998888,210.3814998,572.6586207
LOC100247350,1408.126166,1150.360955,1122.034666,1164.64749
LOC100254284,166.0975267,108.7613993,346.2528851,347.9444784
LOC100242217,7948.348522,8945.625096,8379.100671,5042.778656
LOC100249185,2704.110052,2934.466217,2737.150971,2207.675498
LOC100264496,187.2564473,197.6529276,422.9544735,400.2972356
LOC100259322,27.50659677,23.00721909,102.9992759,114.3706387
LOC100853084,139.6488759,146.409576,550.059963,333.4467918
LOC100254211,2089.443409,2463.864008,1995.337037,1722.808424
LOC100244013,77.23006017,108.7613993,174.2221795,198.1350502
LOC100243945,2140.224818,1762.143826,2053.411097,2316.408148
LOC100261141,2161.383739,2157.449681,1532.936032,1509.370261
LOC100256055,64.53470782,98.30357248,77.79732544,88.59697367
LOC100249104,3.173838089,1.045782686,38.35079423,80.54270334
LOC100266271,2561.287338,3205.323932,8929.160634,4284.066391
LOC100261061,1587.976991,970.4863326,5125.857583,9187.50617
LOC100250913,1582.687261,1286.312704,649.772028,964.096159
LOC100245765,11.63740633,3.137348058,29.58489841,45.10391387
LOC100262937,1041.018893,914.0140675,1023.418338,1301.570086
LOC109122923,154.4601203,153.7300548,265.1683487,120.814055
LOC100257811,128.0114696,136.9975319,202.7113409,315.7273971
LOC100252667,41.25989516,35.55661132,37.25505725,54.76903827
LOC100264718,1220.869718,1182.780218,924.8020095,1033.362884
LOC109122935,1853.521444,2208.693033,1541.701928,1229.88708
LOC100245694,1584.803153,1454.683716,1031.088496,1205.724269
LOC100259545,3193.939064,2831.979514,1821.114858,1882.282977
LOC100249028,236.9799107,268.7661503,139.1585962,168.33425
LOC100262861,454.9167928,515.5708642,8414.164255,5861.897949
MIR398A,57.12908561,29.28191521,6.574421868,24.96823803
LOC100252601,622.0722655,846.0381929,590.6022312,319.7545323
LOC100247494,3063.811702,2872.765038,1919.731186,1829.124793
LOC100266199,574.4646942,712.1780091,494.1773771,434.930598
LOC100260996,12.69535236,32.41926326,40.54226819,24.96823803
LOC100255915,75.11416811,58.56383041,38.35079423,62.8233086
LOC104879181,999.7589981,865.908064,674.9739785,742.6037248
LOC100267935,157.6339584,168.3710124,105.1907499,205.3838935
LOC100262788,271.8921297,270.8577157,174.2221795,221.4924342
LOC100242357,2816.252331,2629.097672,4538.542563,3121.029754
LOC100244008,0.0,0.0,21.91473956,22.55195693
LOC109123387,37.02811104,4.183130744,0.0,10.47055143
LOC109123391,39.1440031,41.83130744,30.68063539,22.55195693
LOC100261136,82.51979032,83.66261488,75.60585149,30.60622727
LOC100256051,240.1537488,203.9276238,119.4353306,181.2210825
LOC109123055,638.999402,539.623866,529.2409604,595.2105777
LOC100252664,1087.568519,883.6863696,608.1340228,902.0782774
LOC100247562,1528.732013,2011.040105,964.2485407,1044.638862
LOC100853109,422.1204659,500.9299066,231.2005024,267.4017751
LOC100264713,469.7280372,439.2287281,488.6986922,374.5235705
LOC100264641,991.2954299,976.7610287,2335.0155,1200.891707
LOC100259539,170.3293108,167.3252298,100.807802,190.0807799
LOC100259464,2607.836963,2648.967544,1614.020569,1810.599971
LOC104877428,64.53470782,58.56383041,63.55274473,144.976866
LOC100249022,63.47676179,37.64817669,60.26553379,128.0628983
LOC100254353,866.4577984,1170.230826,719.8991946,886.7751637
LOC100243868,688.7228654,865.908064,635.5274473,529.970988
LOC100249255,891.8485031,1008.134509,1673.190366,1320.094908
LOC100266192,575.5226402,530.2118218,510.6134318,541.2469664
LOC100260989,132.2432537,146.409576,227.9132914,273.8451913
LOC100244086,1126.712522,1064.606774,1048.620288,951.2093264
LOC100266425,2798.267249,2828.842166,1660.041522,2384.064019
LOC100261218,590.3338846,654.6599614,418.5715256,341.5010622
LOC100256132,549.0739895,645.2479172,833.8558403,446.2065765
LOC100250979,8.463568238,11.50360955,16.43605467,16.10854067
LOC109121469,1778.407276,1176.505522,3141.477916,3149.2197
LOC100247417,3865.734793,3893.44894,1669.903155,1653.5417
LOC100242282,92.04130459,51.24335161,60.26553379,99.06752511
LOC100259396,4.231784119,1.045782686,46.02095308,49.13104904
LOC100245839,4252.94304,4521.964334,3008.893742,2998.604845
LOC100254274,12.69535236,23.00721909,21.91473956,13.69225957
LOC100855161,131.1853077,108.7613993,310.0935648,660.4501674
LOC100266338,2754.891462,3462.586473,2937.670838,2705.429405
LOC100855130,147.0544981,123.4023569,111.7651718,117.5923469
LOC100261132,230.6322345,280.2697598,345.1571481,169.945104
LOC100855064,67.70854591,110.8529647,93.13764314,82.95898444
LOC100268160,3549.40893,3855.800763,2901.511518,2763.420152
LOC100256047,1542.485311,1933.652186,1979.996719,1241.163058
LOC100250903,405.1933294,570.9973465,386.7951533,313.311116
LOC100854962,320.557647,403.6721168,414.1885777,243.2389641
LOC100245755,1887.375717,2038.230455,2013.964566,1988.599345
LOC100262925,2206.875418,2578.900104,1179.012988,1096.991619
LOC104879122,6.347676179,5.22891343,157.7861248,133.7008875
LOC100247555,1511.804877,1126.307953,642.1018691,1083.29936
LOC100242423,10779.4121,10384.62207,4431.160339,7278.644101
LOC100264706,4060.396862,4552.292032,1555.946509,2329.294981
LOC100257583,1072.757274,935.9755039,842.6217361,1065.579965
LOC100252459,1713.872568,2474.321835,1555.946509,1510.981115
LOC100247342,5961.525878,5700.561421,6132.839866,5329.51068
LOC104879102,11.63740633,7.320478802,16.43605467,18.52482177
LOC100260982,88.8674665,64.83852653,65.74421868,128.8683253
LOC100255903,1651.453752,1561.35355,1485.819342,1674.482802
LOC100250738,1856.695282,1963.979884,1142.853668,1262.104161
LOC100242206,179.8508251,305.3685443,458.0180568,335.0576459
LOC100245605,424.2363579,675.5756151,865.6322127,394.6592464
LOC100264488,1026.207649,743.5514897,1036.567181,1784.020879
LOC100267922,1463.139359,1464.09576,998.216387,1316.8732
LOC100262776,347.0062978,449.686555,256.4024529,254.5149425
LOC100259316,4766.046864,5444.344663,4316.107957,2980.885451
LOC104879053,476.0757134,494.6552105,847.004684,552.5229449
LOC100257653,564.9431799,623.2864808,524.8580125,566.2152045
LOC100254202,2814.136439,3296.307026,1878.09318,1952.355129
LOC100249093,644.2891321,446.5492069,963.1528037,1270.158432
LOC100252517,136.4750378,98.30357248,521.5708016,351.1661866
