ID,CO_A,CO_B,AF_A,AF_B
LOC104879287,766.5832867,923.1107129,729.9805755,601.280061
LOC100259472,381.5728467,192.2188143,312.7211768,375.9039939
LOC100257674,1263.888438,1355.890798,879.1932513,818.3396681
LOC104879282,332.3006773,285.4506942,784.4834092,997.1435589
LOC100254292,3541.866875,3873.151557,3306.803072,3197.678886
AP1,129.4826777,206.0309446,310.9341986,336.8166317
LOC100232936,6.875186428,2.302021728,46.46143198,29.10761014
TRNAI-AAU,12.60450845,34.53032592,3.573956306,6.653168033
LOC100266436,264.6946775,203.7289229,142.9582522,189.6152889
LOC100245772,1171.073422,953.0369953,1417.073675,2029.21625
LOC100268093,49.2721694,54.0975106,75.05308243,155.5178028
LOC100256140,1949.115352,1787.519872,2468.710318,3663.400648
LOC100257818,14.89623726,24.17122814,33.05909583,15.80127408
LOC100250986,3049.145181,3859.339427,1756.599524,1950.20988
LOC100252672,371.2600671,435.0821066,552.1762493,446.5939042
LOC100247573,1900.989047,2059.158436,1246.417262,1184.26391
LOC100245849,1375.037286,1572.28084,1817.356782,2339.42021
LOC100242441,215.4225081,265.8835096,682.6256545,766.7776158
LOC100259261,798.66749,973.7551909,788.0573655,800.875102
LOC100267868,2682.468571,2788.899323,1904.918711,1431.262773
LOC100249034,105.4195252,74.81570615,86.66844042,153.0228648
LOC100257592,4905.445516,4995.387149,4695.285097,5834.828365
LOC100262720,404.4901348,414.363911,321.6560675,269.4533053
LOC100266204,3100.709079,3383.97194,2041.62254,1521.912188
LOC100250757,603.8705412,531.7670191,1635.978499,2655.445691
LOC100245623,1595.043251,1778.311785,2447.266581,2263.740423
LOC100854554,789.5005748,774.6303114,2344.515337,2447.53419
LOC100854459,53.85562702,35.68133678,39.31351937,43.24559221
LOC100262794,536.2645414,497.2366932,531.6260005,512.2939385
LOC100257668,550.0149142,554.7872364,463.7208307,452.4154262
LOC100252537,411.3653213,376.3805525,575.4069653,713.5522715
LOC100854391,273.8615927,390.1926829,362.7565651,545.5597787
LOC100247428,454.9081686,330.3401179,640.6316679,553.8762387
LOC100242289,554.5983718,559.3912799,597.7441922,597.121831
LOC100264579,264.6946775,315.3769767,119.7275363,128.0734846
LOC100259407,98.5443388,138.1213037,132.2363833,73.18484836
LOC100252466,171.8796607,286.6017051,452.9989618,542.2331947
LOC100247350,1525.145523,1266.11195,1324.150811,1439.579233
LOC100254284,179.9007115,119.7051298,278.7685919,409.169834
LOC100242217,8608.879272,9845.74693,5717.436601,6021.948716
LOC100249185,2928.829418,3229.736484,2522.319663,2385.16074
LOC100264496,202.8179996,217.5410533,480.6971232,676.1282013
LOC100259322,29.79247452,25.32223901,152.7866321,118.0937326
LOC100853084,151.2541014,161.1415209,314.5081549,286.0862254
LOC100254211,2263.082199,2711.781595,1472.469998,1900.311119
LOC100244013,83.64810154,119.7051298,150.1061649,220.3861911
LOC100243945,2318.083691,1939.453306,2824.318971,2809.300202
LOC100261141,2341.000979,2374.535412,2587.544366,1445.400755
LOC100256055,69.89772868,108.1950212,92.92286396,81.5013084
LOC100249104,3.437593214,1.151010864,87.5619295,154.6861568
LOC100266271,2774.137724,3527.848298,3468.524595,4156.566729
LOC100261061,1719.942471,1068.138082,10306.3965,11231.37929
LOC100250913,1714.213149,1415.743363,1326.831279,1185.927202
LOC100245765,12.60450845,3.453032592,68.79865889,72.35320236
LOC100262937,1127.530574,1005.983495,1361.677353,1404.650101
LOC109122923,167.2962031,169.198597,145.6387195,163.8342628
LOC100257811,138.649593,150.7824232,334.1649146,281.0963494
LOC100252667,44.68871178,39.13436937,67.01168074,48.23546824
LOC100247567,1.145864405,1.151010864,16.08280338,19.12785809
LOC100264718,1322.327523,1301.793287,1266.074021,1168.462636
LOC109122935,2007.554437,2430.934945,1595.771491,1268.260156
LOC100245694,1716.504878,1601.056112,1538.58819,1693.231264
LOC100259545,3459.364638,3116.937419,2368.639542,1971.00103
LOC100249028,256.6736266,295.809792,195.6741078,195.436811
LOC100262861,492.721694,567.4483559,6417.038548,7398.322853
MIR398A,61.87667785,32.22830419,25.01769414,33.26584016
LOC100252601,673.7682699,931.1677889,385.093792,360.9343658
LOC100247494,3318.423316,3161.826843,2307.882285,1931.913668
LOC100266199,622.2043717,783.8383983,680.8386763,446.5939042
LOC100260996,13.75037286,35.68133678,25.91118322,53.22534426
LOC100255915,81.35637273,64.45660838,54.50283367,86.49118443
LOC104879181,1082.841862,953.0369953,926.5481723,768.4409078
LOC100267935,170.7337963,185.3127491,227.8397145,182.1304749
LOC100262788,294.487152,298.1118138,176.0173481,224.5444211
LOC100242357,3050.291045,2893.641312,2877.034826,3080.416799
LOC100244008,0.0,0.0,96.49682026,57.38357428
LOC109123387,40.10525416,4.604043456,22.33722691,10.81139805
LOC109123391,42.39698297,46.04043456,23.23071599,16.63292008
LOC100261136,89.37742356,92.08086911,67.90516981,37.42407019
LOC100256051,260.1112199,224.4471185,211.7569111,183.7937669
LOC109123055,692.1021004,593.9216058,931.0156177,744.3231737
LOC100252664,1177.948608,972.60418,1210.677699,1215.034812
LOC100247562,1655.774065,2213.393891,1262.500065,1046.210673
LOC100853109,457.1998974,551.3342038,298.4253516,294.4026855
LOC100264713,508.7637957,483.4245628,501.2473719,492.3344344
LOC100264641,1073.674947,1075.044147,953.3528446,1249.963944
LOC100259539,184.4841691,184.1617382,167.0824573,197.931749
LOC100259464,2824.555757,2915.510518,2549.124335,1711.527476
LOC104877428,69.89772868,64.45660838,98.28379842,138.8848827
LOC100249022,68.75186428,41.4363911,155.4670993,143.0431127
LOC100254353,938.4629474,1287.981157,1612.747783,1096.941079
LOC100243868,745.9577274,953.0369953,650.4600477,534.7483806
LOC100249255,965.9636931,1109.574473,1107.032966,1647.490734
LOC100266192,623.3502361,583.562508,612.9335065,586.3104329
LOC100260989,143.2330506,161.1415209,160.8280338,330.1634636
LOC100244086,1220.345591,1171.729059,995.3468312,982.1739309
LOC100266425,3030.81135,3113.484387,2778.751028,2897.454678
LOC100261218,639.3923378,720.5328008,411.8984643,431.6242761
LOC100256132,594.703626,710.173703,411.8984643,501.4825405
LOC100250979,9.166915237,12.6611195,23.23071599,27.44431814
LOC109121469,1926.198064,1294.887222,2223.000822,2913.255952
LOC100247417,4186.988535,4285.213446,3108.448497,1700.716078
LOC100242282,99.6902032,56.39953233,122.4080035,128.0734846
LOC100264569,0.0,0.0,24.12420507,22.45444211
LOC100259396,4.583457619,1.151010864,22.33722691,26.61267213
LOC100245839,4606.374907,4976.970976,4820.373568,2828.42806
LOC100254274,13.75037286,25.32223901,8.041401689,10.81139805
LOC100855161,142.0871862,119.7051298,478.910145,586.3104329
LOC100266338,2983.83091,3810.99697,3950.115207,3182.709258
LOC100855130,159.2751522,135.8192819,150.9996539,138.0532367
LOC100261132,249.7984402,308.4709115,198.354575,193.773519
LOC100855064,73.3353219,122.0071516,88.45541857,74.01649437
LOC100268160,3844.375078,4243.777055,1663.67666,1709.864184
LOC100256047,1670.670302,2128.219087,1259.819598,1252.458882
LOC100250903,438.866067,628.4519317,343.0998054,333.4900477
LOC100854962,347.1969146,444.2901935,229.6266927,234.5241732
LOC100245755,2044.222098,2243.320174,2131.864937,1982.644074
LOC100262925,2390.273148,2838.39279,1329.511746,1281.566492
LOC104879122,6.875186428,5.75505432,110.7926455,197.931749
LOC100247555,1637.440234,1239.6387,1455.493706,1388.848827
LOC100242423,11675.21242,11429.53788,10329.62721,7710.190104
LOC100264706,4397.827585,5010.350291,3164.738309,2636.317833
LOC100257583,1161.906506,1030.154723,1220.506079,1146.83984
LOC100252459,1856.300336,2723.291704,1678.865975,1501.952683
