ID,A1_A,A1_B,AF_A,AF_B
LOC104879287,1062.989142,731.3496106,777.4391341,632.2064926
LOC100259472,277.8713911,388.9365614,333.0522606,395.2383605
LOC100257674,774.6320383,817.8833432,936.3526413,860.4304132
LOC104879282,2348.799683,1097.024416,835.4853852,1048.430961
LOC100254292,3013.331736,3442.739897,3521.789762,3362.149328
AP1,259.5213935,153.52759,331.1491048,354.1405664
LOC100232936,17.03928341,13.0265834,49.48205015,30.60474031
LOC100266436,273.9392487,218.660507,152.252462,199.3680226
LOC100245772,1756.356906,1883.271771,1509.20253,2133.58761
LOC100261225,19.66071163,14.88752388,2.854733662,11.36747497
LOC100268093,81.26427474,120.9611315,79.93254255,163.5167553
LOC100256140,3129.985292,3060.316628,2629.209703,3851.825173
LOC100257818,34.07856683,40.94069067,35.20838184,16.61400188
LOC100250986,4903.381481,2194.979302,1870.802127,2050.5176
LOC100252672,418.1178007,513.6195739,588.0751345,469.5641584
LOC100247573,1772.085475,1379.88737,1327.451153,1245.17572
LOC100245849,2861.288899,2561.584578,1935.509423,2459.746699
LOC100242441,463.9927945,876.5029685,727.005506,806.2163018
LOC100259261,1192.749839,1003.977392,839.2916967,842.067569
LOC100267868,1568.924788,1514.805555,2028.764056,1504.878802
LOC100249034,140.2464096,186.0940485,92.30305508,160.8934919
LOC100257592,10742.61284,6076.901154,5000.541799,6134.938799
LOC100262720,115.3428416,255.8793167,342.5680395,283.3124531
LOC100266204,1938.546167,1775.337223,2174.355473,1600.190707
LOC100250757,2352.731825,2366.185827,1742.339112,2792.026737
LOC100245623,1478.485515,2484.355548,2606.371834,2380.174375
LOC100854554,1367.074815,2265.695041,2496.940377,2573.421449
LOC100854459,39.32142326,48.38445261,41.86942705,45.46989988
LOC100262794,593.7534913,454.0694784,566.188843,538.6434294
LOC100257668,449.5749393,510.8281632,493.8689236,475.6851065
LOC100252537,790.3606076,641.0939971,612.8161595,750.2533481
LOC100854391,351.2713811,451.2780676,386.3406223,573.6202754
LOC100247428,376.1749492,610.3884791,682.2813453,582.364487
LOC100242289,871.6248823,586.1962528,636.6056067,627.8343868
