"","A1_A","A1_B","AF_A","AF_B"
"LOC104879287",1067.32693519079,733.683976885198,779.850016974328,634.346416938121
"LOC100259472",279.131597349991,390.428272241234,334.221435846141,396.466510586326
"LOC100257674",778.154632900156,821.003410522697,939.433225081044,863.192909124659
"LOC104879282",2358.56159055802,1101.0278011533,838.062759554136,1051.89089391005
"LOC100254292",3025.26439861699,3455.64149441277,3534.91860976008,3374.4820470664
"AP1",261.058328456827,154.565434254884,332.214099895113,355.31429050015
"LOC100232936",17.0691983991002,13.0477314630747,49.1797308001829,31.1150932358889
"LOC100266436",275.115315373733,219.804091570258,152.557532278118,199.738824320706
"LOC100245772",1763.14778757764,1889.91371884381,1514.53497505053,2141.92286985119
"LOC100261225",20.0814098812943,15.0550747650861,3.01100392654181,11.0408395353154
"LOC100268093",81.3297100192421,121.444269771695,80.2934380411149,164.608880344702
"LOC100256140",3142.74064642257,3071.23525207757,2638.64310762614,3866.30126273045
"LOC100257818",34.1383967982004,41.1505376912354,35.1283791429878,17.0631156454874
"LOC100250986",4922.95763239931,2203.05927395761,1877.86278218657,2058.61471699381
"LOC100252672",419.701466519052,515.887228616952,590.156769602194,471.744961963476
"LOC100247573",1779.21291548268,1385.06687838792,1331.86740350699,1249.6222928607
"LOC100245849",2872.64568351916,2571.40676987671,1943.10120059498,2469.13320517054
"LOC100242441",465.888709246029,880.220037932036,729.666618198631,808.99242413311
"LOC100259261",1197.85609941921,1007.68633760977,842.077431456192,845.126080794143
"LOC100267868",1575.38660518754,1520.5625512737,2036.44232231778,1510.58759096815
"LOC100249034",140.56986916906,186.682927087068,92.3374537472821,161.597742289616
"LOC100257592",10786.7293177373,6099.3126231619,5019.34354554519,6157.77732265091
"LOC100262720",115.468106817442,256.93994265747,344.25811560128,284.050689863114
"LOC100266204",1946.89268799149,1781.51718053519,2181.9741787673,1605.94029604588
"LOC100250757",2362.57787253428,2374.68712627959,1748.38961334528,2802.36581660006
"LOC100245623",1484.01619022765,2493.12038109826,2615.55874418932,2388.83619036824
"LOC100854554",1372.56436538647,2274.31996117901,2506.1589348583,2582.55273857878
"LOC100854459",39.158749268524,48.1762392482756,42.1540549715853,45.1670708262903
"LOC100262794",596.417873474442,455.666929556607,568.076074140888,541.001137230455
"LOC100257668",451.831722329123,512.876213663934,495.811979903884,477.767238073648
"LOC100252537",793.215690311127,643.353528294681,615.248468990043,752.784513771505
"LOC100854391",352.428743416716,452.65591460359,387.415838548379,576.131081206458
"LOC100247428",377.530505768334,612.239707113503,684.501559300504,584.160782686688
"LOC100242289",875.549470824434,588.151587489365,639.336500402377,630.331566198007
"LOC100264579",194.789675848555,205.752688456177,128.469500865784,135.501212478871
"LOC100259407",94.3826264420834,101.37083675158,141.517184547465,77.2858767472078
"LOC100252466",253.025764504309,664.430632965802,483.767964197717,572.116230466344
"LOC100247350",1347.46260303485,1349.93837060272,1415.17184547465,1519.62100513341
"LOC100254284",415.685184542793,403.476003704308,298.089388727639,431.596454562329
"LOC100242217",10063.7985620107,5847.39103875946,6111.33430290435,6355.50872160156
"LOC100249185",3287.32679756788,2559.36271006464,2695.85218223043,2517.31141405191
"LOC100264496",508.059669996747,463.696302764653,513.878003463135,713.639719055387
