"","A1_A","A1_B","F1_A","F1_B"
"LOC104879287",789.459100883319,558.308745533277,604.124742765414,478.932800736749
"LOC100259472",206.550305639912,297.036147534608,169.910083902773,137.121839215086
"LOC100257674",575.957583034371,623.875253015833,925.066012359541,854.527403804158
"LOC104879282",1744.75426446791,837.463118299916,346.775551357121,376.58823958346
"LOC100254292",2238.29033130943,2627.62745896,3066.33052002314,3327.68869225596
"AP1",192.647881221841,117.224967923357,169.910083902773,71.5418291556969
"LOC100232936",12.9093941024945,9.93431931553875,14.9043933248046,8.94272864446212
"LOC100266436",203.571214693183,166.896564501051,250.393807856718,303.059137395661
"LOC100245772",1304.84183466752,1437.49600495846,842.595035962288,844.591038643644
"LOC100268093",60.5748492501666,92.3891696345103,48.6876848610285,42.7263701902079
"LOC100256140",2325.67699908017,2335.55847108316,1867.02367048719,1778.60936373191
"LOC100257818",24.8257578894125,30.7963898781701,14.9043933248046,19.8727303210269
"LOC100250986",3643.42822785018,1674.92623659983,3215.37445327119,2651.02222482499
"LOC100252672",310.818488775445,392.40561296378,297.094240274439,282.192770558582
"LOC100247573",1316.75819845444,1053.03784744711,1884.90894247696,1653.41116270944
"LOC100245849",2126.07790564929,1955.07404129803,1277.80332104658,1045.30561488602
"LOC100242441",344.581519505046,668.579689935758,198.725244330728,176.86729985714
"LOC100259261",885.783041494239,765.936019228037,714.417253368969,554.449175956651
"LOC100267868",1165.81759048681,1156.35476832871,1882.92169003365,1939.57847933223
"LOC100249034",104.268183135533,142.060766212204,25.8342817629947,51.66909883467
"LOC100257592",7980.98464628834,4638.33368842504,4760.4632279426,5083.44441611869
"LOC100262720",85.4006071395791,195.706090516113,403.412245991379,447.136432223106
"LOC100266204",1439.89395758593,1355.04115463948,2131.32824544706,1888.90301701361
"LOC100250757",1747.73335541464,1806.05925156494,365.65444956854,382.550058679768
"LOC100245623",1098.29152902761,1896.46155733635,1281.7778259332,1052.26107049838
"LOC100854554",1015.87001283476,1729.5649928353,613.067378760297,659.774646658094
"LOC100854459",28.7978791517185,36.7569814674934,26.8279079846483,31.7963685136431
"LOC100262794",440.905460115967,346.707744112302,352.737308687043,378.575512615563
"LOC100257668",333.658186033705,389.425317169119,325.909400702395,405.403698548949
"LOC100252537",586.880916505712,489.76194225606,206.674254103958,259.339130689401
"LOC100854391",261.16697299662,344.720880249194,253.374686521679,331.87459636115
"LOC100247428",279.041518676997,465.919575898767,166.929205237812,211.644577918937
"LOC100242289",647.455765755879,447.044369199244,411.361255764608,465.02188951203
"LOC100264579",143.989395758593,155.968813253958,192.763487000807,178.854572889242
"LOC100259407",70.5051524059316,77.4876906612022,143.082175918124,99.3636516051346
"LOC100252466",186.689699328382,504.663421229368,244.432050526796,192.765484113961
"LOC100247350",997.002436838808,1027.20861722671,1217.19212152571,1190.37654622951
"LOC100254284",307.839397828715,306.970466850147,95.3881172787496,91.4145594767239
"LOC100242217",7446.73433650819,4446.60132563514,9869.68925968563,9067.92684548459
"LOC100249185",2432.92427316243,1946.13315391404,2598.33256962427,2754.36042249433
"LOC100264496",376.358489603494,352.668335701625,181.833598562616,182.829118953448
"LOC100259322",91.3587890330381,101.330057018495,23.8470293196874,13.9109112247188
