"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC104879287",607.70634747969,-0.315463156013233,0.313795433478165,-1.00531468070323,0.314745348214262,0.45050643408838
"LOC100259472",202.654594073095,-0.713847135673978,0.388283841092655,-1.8384672760658,0.0659935795944575,0.133419783630363
"LOC100257674",744.856563053476,0.568715115158975,0.26277896888,2.16423375730149,0.030446413739833,0.0710304153744496
"LOC104879282",826.395293427103,-1.83581744103638,0.370858521652804,-4.95018270809767,7.41438428038344e-07,6.13776766190096e-06
"LOC100254292",2814.98425063713,0.394011775336924,0.238862024302398,1.64953711870962,0.0990376452670677,0.184843317145327
"AP1",137.831190550917,-0.359942519988053,0.532002942172016,-0.676579942431353,0.498672508694685,0.630462961781302
"LOC100232936",11.672708846825,0.0620155704265645,1.16906488866649,0.053047158483481,0.957694333546223,0.972291269487021
"LOC100266436",230.980181111653,0.579110433031731,0.354732543543227,1.63252693775237,0.102568528486614,0.190338424265382
"LOC100245772",1107.38097855798,-0.700786511295233,0.248287792174127,-2.82247671203973,0.00476542828429154,0.015136800152662
"LOC100268093",61.0945184839783,-0.742698027904246,0.576069682210994,-1.28925033001862,0.197311072761548,0.316541154770819
"LOC100256140",2076.71712609561,-0.354542714315485,0.231492610840659,-1.53155089066546,0.125633299064876,0.223262103210721
"LOC100257818",22.5998178533535,-0.677515544637463,0.862855784525829,-0.785201370597269,0.432335512005645,0.570136433689888
"LOC100250986",2796.18778563655,0.141494777837371,0.361283112060824,0.391645147846129,0.695320424248891,0.79054234184088
"LOC100252672",320.627778143062,-0.279703796194208,0.322396388628692,-0.867577324249579,0.385625764483553,0.523749097181227
"LOC100247573",1477.02903777199,0.578301156124824,0.260356682574622,2.22118806556491,0.0263382261904212,0.0631113469977978
"LOC100245849",1601.06522071998,-0.812919392167571,0.252550562319942,-3.2188381791751,0.00128711098587525,0.00490091322957914
"LOC100242441",347.188438407168,-1.43161997886098,0.3944262172674,-3.62962682546635,0.000283831252700765,0.00130623415221427
"LOC100259261",730.146372511974,-0.380428307424658,0.285003029534889,-1.33482197731546,0.181934618698422,0.296997962240609
"LOC100267868",1536.16813204535,0.719041715342477,0.236819368449144,3.03624538842095,0.00239544325133361,0.0084056702992249
"LOC100249034",80.9580824863503,-1.66825136332866,0.565179662738248,-2.95171867162758,0.00316010701764072,0.0106569510086942
"LOC100257592",5615.80649469367,-0.358330623294481,0.302244807449859,-1.18556419982145,0.235794447234179,0.362273054346808
"LOC100262720",282.913843967544,1.59728512184539,0.432521509548696,3.6929611281345,0.0002216579151893,0.0010511246162065
"LOC100266204",1703.79159367152,0.5244637633438,0.241263092401245,2.17382508913367,0.0297182735751341,0.0696426830425674
"LOC100250757",1075.49927880697,-2.24785438218907,0.250211112821551,-8.98383112101111,2.61498989300191e-19,9.8323619976872e-18
"LOC100245623",1332.19799569888,-0.359606829747677,0.324306817925871,-1.10884757849856,0.267495941368092,0.398597756472518
"LOC100854554",1004.56925777211,-1.10897963038231,0.322148212545582,-3.44245160207244,0.000576467006249862,0.00242338099453522
"LOC100854459",31.0447842793758,-0.161199085155668,0.743900093762681,-0.216694535337824,0.828446406994245,0.887608292510658
