ID,F1_A,F1_B,AF1_A,AF1_B
LOC104879287,669.0675525,526.3601186,646.5263606,535.3461093
LOC100259472,188.540233,150.8166564,276.9696771,334.6838747
LOC100257674,1024.457549,937.8598697,778.6804637,728.6038333
LOC104879282,383.7544565,413.4973227,694.7982187,887.8008091
LOC100254292,3395.392691,3653.55847,2928.7565,2847.034288
AP1,188.540233,78.90407849,275.3869933,299.8826753
LOC100232936,16.68497637,9.987858037,41.1497806,25.91578676
LOC100266436,276.9706078,332.5956726,126.6147095,168.8228394
LOC100245772,932.6901791,926.8732258,1255.068308,1806.700562
LOC100268093,53.39192439,46.94293277,66.47272251,138.4643464
LOC100256140,2067.268572,1952.626246,2186.477766,3261.686876
LOC100257818,16.68497637,21.97328768,29.27965158,14.06856995
LOC100250986,3560.573957,2910.461832,1555.778244,1736.357713
LOC100252672,328.6940345,309.6235991,489.0493156,397.6222139
LOC100247573,2087.290544,1815.792591,1103.921999,1054.402295
LOC100245849,1414.885996,1147.604888,1609.589495,2082.888804
LOC100242441,220.2416881,193.7644459,604.5852381,682.6958682
LOC100259261,790.86788,609.2593403,697.9635864,713.0543613
LOC100267868,2085.622046,2129.411334,1687.141005,1274.316257
LOC100249034,28.36445983,56.93079081,76.76016766,136.2429932
LOC100257592,5272.452533,5581.215071,4158.501867,5195.004568
LOC100262720,447.1573667,491.4026154,284.8830965,239.9061402
LOC100266204,2360.924156,2073.479328,1808.216321,1355.025422
LOC100250757,405.4449258,419.4900376,1448.947082,2364.260203
LOC100245623,1419.891489,1155.595175,2167.485559,2015.507759
LOC100854554,679.0785383,724.1197077,2076.481237,2179.147441
LOC100854459,30.03295747,34.95750313,34.81904513,38.50345461
LOC100262794,390.4284471,415.4948943,470.8484511,456.1178469
LOC100257668,360.3954896,445.4584685,410.7064641,402.8053713
LOC100252537,228.5841763,284.6539541,509.6242059,635.307001
LOC100854391,280.307603,364.5568184,321.2848255,485.7358889
LOC100247428,185.2032377,232.7170923,567.3921672,493.1403994
LOC100242289,455.4998549,510.3795457,529.4077543,531.643854
LOC100264579,213.5676975,196.7608033,106.0398192,114.0294617
LOC100259407,158.5072755,108.8676526,117.1186063,65.15969241
LOC100252466,270.2966172,211.7425904,401.2103609,482.7740847
LOC100247350,1348.146091,1307.410617,1172.768747,1281.720768
LOC100254284,105.1153511,99.87858037,246.8986836,364.3019167
LOC100242217,10930.32802,9955.896891,5063.79704,5361.606054
LOC100249185,2878.158424,3024.323414,2233.958282,2123.613612
LOC100264496,201.8882141,200.7559465,425.7419609,601.9867038
LOC100259322,26.69596219,14.98178706,135.3194708,105.1440491
LOC100853084,86.76187713,106.870081,278.552361,254.7151613
LOC100254211,2317.543218,2218.30327,1304.131508,1691.93065
LOC100244013,98.44136059,102.8749378,132.945445,196.2195283
LOC100243945,1630.122191,1698.934652,2501.431856,2501.243647
LOC100261141,1887.070828,2046.512112,2291.726243,1286.903925
LOC100256055,85.09337949,70.91379206,82.29956121,72.56420291
LOC100249104,3.336995274,0.998785804,77.5515096,137.7238953
LOC100266271,3590.606915,2628.804235,3071.98939,3700.774349
LOC100261061,3003.295747,2430.04586,9128.129217,9999.791432
LOC100250913,779.1883965,703.1452058,1175.142773,1055.883198
LOC100245765,30.03295747,4.993929019,60.93332897,64.41924136
LOC100262937,1004.435578,1171.575748,1206.005108,1250.621824
LOC109122923,123.4688251,142.8263699,128.9887354,145.8688569
LOC100257811,186.8717354,141.8275841,295.9618836,250.272455
LOC100252667,40.04394329,21.97328768,59.3506451,42.94616091
LOC100247567,0.0,0.998785804,14.24415482,17.03037415
LOC100264718,1239.693744,1103.658313,1121.331521,1040.333725
LOC109122935,1685.182613,1573.087641,1413.336695,1129.187851
LOC100245694,1795.303457,1913.6736,1362.690812,1507.558338
LOC100259545,2237.455331,2584.85766,2097.847469,1754.868989
LOC100249028,333.6995274,267.6745954,173.3038837,174.0059968
LOC100262861,1848.695382,1301.417902,5683.417775,6587.052542
MIR398A,38.37544565,71.91257787,22.15757417,29.61804201
LOC100252601,700.7690076,591.2811958,341.0683738,321.3557558
LOC100247494,2564.480868,2615.82002,2044.036217,1720.067789
LOC100266199,593.9851588,469.4293277,603.0025542,397.6222139
LOC100260996,35.03845038,19.97571607,22.94891611,47.38886721
LOC100255915,53.39192439,58.92836242,48.27185802,77.00690922
LOC104879181,1012.778066,1124.632815,820.6215863,684.1767703
LOC100267935,121.8003275,181.7790163,201.7921933,162.15878
LOC100262788,295.3240818,266.6758096,155.8943611,199.9217835
LOC100242357,3126.764572,2979.378052,2548.12103,2742.63069
LOC100244008,6.673990548,0.998785804,85.46492895,51.09112246
LOC109123391,18.35347401,30.96235991,20.5748903,14.809021
LOC100261136,61.73441257,68.91622046,60.14198704,33.32029726
LOC100256051,116.7948346,223.72802,187.5480385,163.6396821
LOC109123055,443.8203715,480.4159716,824.5782959,662.7036899
LOC100252664,951.0436531,1006.77609,1072.268321,1081.798984
LOC100247562,1354.820081,1123.634029,1118.166154,931.4874211
LOC100853109,333.6995274,401.5118931,264.3082062,262.1196718
LOC100264713,432.140888,481.4147574,443.9428254,438.3470217
LOC100264641,1326.455621,1014.766377,844.3618443,1112.897928
LOC100259539,183.5347401,149.8178706,147.9809418,176.2273499
LOC100259464,1913.76679,1662.978363,2257.69854,1523.848261
LOC104877428,61.73441257,87.89315073,87.04761282,123.6553254
LOC100249022,35.03845038,35.95628893,137.6934966,127.3575806
LOC100254353,1039.474028,897.9084375,1428.372192,976.6549351
LOC100243868,730.801965,645.2156292,576.0969284,476.1100252
LOC100249255,1685.182613,1320.394833,980.4726571,1466.83353
LOC100266192,408.7819211,385.5313202,542.8605672,522.0179904
LOC100260989,317.014551,180.7802305,142.4415482,293.9590669
LOC100244086,1159.605858,975.8137302,881.5549152,874.4726902
LOC100266425,3220.20044,2914.456975,2461.073417,2579.731459
LOC100261218,583.974173,528.3576902,364.8086319,384.294095
LOC100256132,582.3056753,513.3759031,364.8086319,446.4919832
LOC100250979,26.69596219,32.95993152,20.5748903,24.43488465
LOC109121469,1536.686324,1629.019646,1968.858733,2593.800029
LOC100247417,3178.487999,3099.232349,2753.078591,1514.222398
LOC100242282,43.38093856,47.94171858,108.4138451,114.0294617
LOC100264569,0.0,0.0,21.36623224,19.99217835
LOC100259396,0.0,1.997571607,19.78354837,23.6944336
LOC100245839,3577.258934,3592.632536,4269.289738,2518.274022
LOC100855161,198.5512188,181.7790163,424.159277,522.0179904
LOC100266338,3305.293819,3008.342841,3498.522693,2833.706169
LOC100855130,101.7783559,82.89922171,133.736787,122.9148743
LOC100261132,213.5676975,116.857939,175.6779095,172.5250947
LOC100855064,80.08788658,76.90650689,78.34285153,65.90014346
LOC100268160,4474.910663,3863.303489,1473.478682,1522.367359
LOC100256047,2312.537725,1904.684528,1115.792128,1115.119282
LOC100250903,477.1903242,373.5458906,303.8753029,296.9208711
LOC100854962,410.4504187,270.6709528,203.3748772,208.8071961
LOC100245755,2452.691526,2121.421047,1888.141856,1765.235304
LOC100262925,2237.455331,1744.878799,1177.516799,1141.035068
LOC104879122,8.342488185,2.996357411,98.1263999,176.2273499
LOC100247555,1218.003275,1348.360835,1289.096012,1236.553254
LOC100242423,8442.598043,9797.089949,9148.704107,6864.721686
LOC100264706,4625.07545,4901.041939,2802.933133,2347.229829
LOC100257583,870.9557665,809.016501,1080.973083,1021.081998
LOC100252459,2127.334487,1610.042716,1486.931495,1337.254597
LOC100247342,4583.363009,4811.151216,5590.830769,5667.412338
LOC104879102,0.0,4.993929019,16.61818063,24.43488465
LOC100260982,90.0988724,62.92350563,130.5714192,129.5789338
LOC100255903,1423.228484,1592.064571,1668.94014,1482.383002
LOC100250738,2184.063407,1828.776807,1388.805095,1164.729502
LOC100242206,286.9815936,268.6733812,331.5722706,345.7906404
LOC100245605,612.3386328,530.3552618,458.1869802,401.3244692
LOC100264488,807.5528563,950.8440851,1502.758334,1830.394996
LOC100267922,1144.589379,1142.610959,1422.041457,1174.355366
LOC100262776,428.8038927,309.6235991,219.2017159,208.8071961
LOC100259316,5664.549478,4721.260494,3256.372061,2892.201802
LOC104879053,644.0400879,556.3236927,439.9861157,536.8270114
LOC100257653,488.8698077,392.5228209,487.4666318,524.9797946
LOC100254202,2702.966172,2566.879516,2147.702011,1862.234391
LOC100249093,510.5602769,553.3273353,1058.024167,1540.138184
LOC100252517,78.41938894,107.8688668,253.2294191,347.2715425
LOC100243937,1668.497637,2064.490256,1447.364399,1343.178205
LOC100249170,76.7508913,123.8494397,299.9185932,267.3028291
LOC104879035,460.5053478,350.5738171,339.48569,322.8366579
LOC100244000,96.77286295,69.91500626,78.34285153,71.08330081
LOC100261052,55923.0353,47825.85942,29687.98402,31749.80058
