"","Row.names","F1_A","F1_B","AF1_A","AF1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","18Srrn",51026.8224955012,53610.9904419112,23466.6997320891,20227.1519597383,37082.9161573099,1.25990228162419,0.17885263669436,7.04435956276802,1.86316454316534e-12,2.45558608303336e-11
"2","4CL",387.651176041092,416.367099076196,3872.5173516972,5671.11764941551,2586.9133190575,-3.56923745188732,0.242702794442201,-14.7062066594265,5.88131216857204e-49,8.24511626481729e-47
"3","5Srrn",731.567347605753,610.141763324068,262.408773318291,269.390514108957,468.377099589267,1.33511752038806,0.243618481899723,5.48036220395468,4.24455987105056e-08,3.13185477435699e-07
"4","ACO2",12355.1387645917,13225.369263974,3108.15240214506,4076.64390539053,8191.32608402532,1.83202606935165,0.206096857473355,8.88915091579451,6.15776452866779e-19,1.50223032625474e-17
"5","ADH1",431.386180517523,382.580747361183,1301.11016770319,1414.54871430644,882.406452472085,-1.73826102441112,0.212271736521983,-8.18884818531222,2.63737963294879e-16,5.07348555706728e-15
"6","ANR",1242.47171808042,1345.49177123907,13715.8282690117,19820.5810362306,9031.09319864046,-3.69583824780112,0.229597529515897,-16.0970296831754,2.67648458908333e-58,5.59002924177118e-56
"7","AP1",187.86172377376,78.5035819260608,273.342472206553,298.218281301429,209.481514801951,-1.10150625996519,0.422720554136894,-2.60575514766304,0.00916719681858625,0.0210517429016968
"8","AP3",41.7470497275022,46.7046626648716,117.288769892266,160.0438109651,91.4460733124351,-1.64865085558375,0.427235416041818,-3.85888152919977,0.000113907135323171,0.00043367768708978
"9","APX",17120.2662977738,16402.2800414122,10780.6271038264,5097.54448837909,12350.1794828479,1.07808741538251,0.314471715781203,3.4282492233184,0.000607487495984156,0.00193888259282765
"10","atpF",317.078782454124,229.54844841671,120.270687770883,123.263556271257,197.540368728243,1.16643080562505,0.325894427549773,3.57916769057645,0.000344690246753563,0.00116942151011966
"11","CBF4",323.04264670091,161.975744986682,10006.3224280122,9578.7711954019,5017.52800377543,-5.33557755109387,0.296938978644674,-17.9685993918588,3.43272340252413e-72,1.25466040362257e-69
"12","CBL04",6318.7141694698,6420.40054207948,2075.41484351739,1243.57023302696,4014.52494702341,1.94045092965738,0.262158711803258,7.40181745748592,1.34333081913296e-13,2.00695585445353e-12
"13","CHI4C",484.066981364133,207.686691424642,3352.66966819165,3433.48647871712,1869.47745492438,-3.29426705205459,0.341863271712887,-9.6362122656489,5.62243864349848e-22,1.75305916912368e-20
"14","CHIT3",4.96988687232169,12.9183109498581,284.276171094815,764.432861069329,266.649307496581,-5.87341577373033,0.579588510193812,-10.1337684761319,3.91272678061493e-24,1.43522745063846e-22
"15","CHS",16262.463823611,13183.6331824437,45529.9101159758,65844.6083894802,35205.1538778777,-1.919270358967,0.2371066448054,-8.09454480089412,5.74788856188144e-16,1.0734286777791e-14
"16","CHS3",1283.22479043346,1310.71170329714,14240.6458156483,20048.2209909574,9220.70082508407,-3.72452454660644,0.22185100249406,-16.7884053023658,2.96710780017635e-63,7.49762499432215e-61
"17","CIPK03",75209.2980388441,84869.3280756601,24693.2619528269,23128.8158368012,51975.1759760331,1.74303214541967,0.175498107507767,9.93191419652508,3.02393846510859e-23,1.03848947154098e-21
"18","CIPK08",41.7470497275022,62.6041222954662,324.035076143041,424.4640203857,213.212567137927,-2.84254199309856,0.354596364980003,-8.01627504912202,1.09000273649661e-15,1.96565427406278e-14
"19","CIPK11",5765.06877189316,5948.3853342962,3156.85706082913,2051.74177535383,4230.51323559308,1.16919943906499,0.243371963901656,4.80416651252996,1.5539746877566e-06,8.70940687541129e-06
"20","CIPK12",4386.42215351112,4739.0326861441,2286.13704027299,1911.57918314216,3330.79276576759,1.12029193609069,0.194061539696793,5.77286946110527,7.79328175270768e-09,6.38051563657683e-08
"21","CIPK13",23440.9684219925,22207.570239033,8721.11582232834,6629.39239333076,15249.7617191711,1.57228239205285,0.204547785023528,7.68662633952257,1.51065505023549e-14,2.45397520382699e-13
"22","CTR2",223.644909254476,231.535880870534,614.27508299509,1005.98966892349,518.861385510897,-1.83171663072314,0.300028729529688,-6.10513744331903,1.02712255490974e-09,9.4401187489414e-09
"23","DFR",1373.67673150971,1350.46035237363,9080.93391301479,14139.5227774384,6486.14844358414,-3.09152454510679,0.24591372257944,-12.5715820682113,3.02607089348267e-36,2.36403126136654e-34
"24","F3'5'H",4.96988687232169,7.9497298152973,172.951236959782,267.402392233615,113.318311470254,-5.09099529664775,0.572104099067573,-8.89872193704809,5.64934302534354e-19,1.38314297898004e-17
"25","F3'H",3935.15642550431,3922.19794762231,11326.3180756133,14744.9058884803,8482.14458430507,-1.73034240149411,0.203038963058305,-8.52221847191575,1.56525776270442e-17,3.37783350263234e-16
"26","F3H",2905.39586555926,3122.25638495801,21408.1824232172,37440.3111564567,16219.0364575478,-3.28733652749526,0.271242084379659,-12.1195666779125,8.31978501941584e-34,5.56501175743148e-32
"27","FLS1",1553.58663628776,1186.49717493312,288.252061599637,250.5033562932,819.70980727843,2.3465165307869,0.244206682366926,9.6087318661543,7.34479669050012e-22,2.26065110768656e-20
"28","G1",4.96988687232169,1.98743245382432,158.041647566698,306.1707688028,117.792433923911,-6.06016562760571,0.710133630004025,-8.53383838133585,1.41570574766255e-17,3.06956199609715e-16
"29","GATA",277.31968747555,282.215408443054,710.690427737037,798.230932950158,517.11411415145,-1.4312163499827,0.231144187694186,-6.19187687244061,5.94519873801644e-10,5.67566827284144e-09
"30","GDH",630.18165541039,636.972101450696,2017.76443119746,2594.49904732243,1469.85430884524,-1.86388276839733,0.217712715985696,-8.56120305127139,1.11695785493598e-17,2.44774019002459e-16
"31","GER6",112.31944331447,105.333920052689,191.83671685769,310.147012553486,179.909273194584,-1.20560748432712,0.363176455432517,-3.3196190620103,0.000901403575601448,0.0027500265889716
"32","GFH2",2860.66688370836,2043.08056253141,1478.0372951678,939.387586099501,1830.29308187677,1.02041330397315,0.281980784230871,3.61873347773119,0.000296048337206459,0.00102012076867707
"33","GRIP32",125285.878164357,80595.3545837109,36593.1022337609,22533.373335136,66251.9270792413,1.79993659480713,0.291769303782819,6.16904030503131,6.87057148253941e-10,6.51050264373225e-09
"34","GRIP55",11238.9021730683,11606.6055303341,5528.47574695581,3472.2548552863,7961.55957641111,1.34379668139952,0.248865157839245,5.39969794513199,6.67531935648945e-08,4.76230172842894e-07
"35","GST3",409.518678279307,390.53047717648,140.150140294996,143.144775024686,270.836017693867,1.49778389168953,0.270849144847168,5.52995614047325,3.20310863068468e-08,2.40631425746069e-07
"36","HP2",24.8494343616084,21.8617569920676,68.5841112081896,75.5486312630287,47.7109834562236,-1.62555966863523,0.540780909769201,-3.00594869247326,0.00264753666586128,0.00709104690877371
"37","HP3",507.922438351277,406.429936807074,1163.94194528681,1754.51755499007,958.202968858809,-1.67438538153594,0.272153262078892,-6.1523619770193,7.63373988867527e-10,7.19371031498183e-09
"38","HSP101",16629.2414747884,14196.2300176672,7450.81880603753,2614.38026607586,10222.6676411422,1.61474946145612,0.702323794614324,2.29915243344824,0.0214962849707376,0.0440779363635601
"39","HXK2",346.898103688054,282.215408443054,672.919467941223,839.981492332358,535.503618101172,-1.26592651386548,0.255182319483229,-4.96087078614659,7.01778647945306e-07,4.17073326543105e-06
"40","HYD2",263.40400423305,398.480206991777,879.665774191997,554.686003220658,524.05899715937,-1.1157456555144,0.323295711765403,-3.45116132045708,0.000558179824123428,0.0017989016910972
"41","IFRL5",5681.57467243816,6140.17256609025,1904.45155181002,1655.11146122293,3845.32756289034,1.73167129157233,0.187178540626979,9.25144135525298,2.21485500054324e-20,6.11790177477989e-19
"42","K1.2",51.6868234721456,47.6983788917838,107.34904363021,139.168531274,86.4756943170348,-1.31058753117404,0.424962010231318,-3.08401104009428,0.00204230016578738,0.00564050732604724
"43","LAR1",275.331732726622,323.951489973365,5085.16395566809,7284.47855125624,3242.23143240608,-4.36741963387726,0.243476704105479,-17.9377310446309,5.98494622515192e-72,2.14912069011245e-69
"44","LAR2",1927.32212908635,1559.14076002518,3827.78858351794,4208.85401010083,2880.77637068258,-1.20482904161081,0.20247435291981,-5.95052669257318,2.67280976056315e-09,2.32796043315772e-08
"45","LDOX",1041.68828843863,1423.99535316513,26309.4614430373,40968.2334242526,17435.8446272234,-4.7700670974479,0.26660493984507,-17.8918931517919,1.36394666469623e-71,4.65287672216706e-69
"46","LOC100232838",41.7470497275022,19.8743245382432,9.93972626205646,1.98812187534286,18.3873056007862,2.36907850459948,1.01868170816321,2.32563173130022,0.0200382052891722,0.0414577970139267
"47","LOC100232847",736.537234478074,741.312305276473,1619.181408089,2287.33421758196,1346.09129135638,-1.40238236691526,0.237885002600272,-5.89521134828219,3.74202112730413e-09,3.1993186480226e-08
"48","LOC100232848",638.133474406105,583.311425197439,2442.19074258727,2700.86356765327,1591.12480246102,-2.07403696642034,0.196430779178537,-10.5586149741596,4.63449283216663e-26,1.91633937957145e-24
"49","LOC100232855",107.349556442148,143.095136675351,443.311791287718,514.9235657138,302.170012529755,-1.93588232272523,0.291610325792529,-6.63859318926364,3.16691102421171e-11,3.57530804432241e-10
"50","LOC100232856",37.7711402296448,25.8366218997162,430.390147147045,654.092096987801,287.022501566052,-4.09167204618241,0.370582584713737,-11.0411881587558,2.418142008887e-28,1.15641426724063e-26
"51","LOC100232858",10761.7930333254,9834.80949774967,5549.34917210612,4618.40711642146,7691.08970490066,1.01840509961436,0.190839546781118,5.3364468570155,9.47856359366214e-08,6.60113098452115e-07
"52","LOC100232872",105237.354521412,58551.7475221184,29006.1091779332,18733.0783704181,52882.0723979704,1.77859394949459,0.309705288618269,5.74285946949657,9.3090981645543e-09,7.53117079968765e-08
"53","LOC100232901",61.626597216789,73.5350007915,816.051526114836,884.714234527572,458.981839662674,-3.6534205839605,0.266390505521816,-13.7145300160155,8.31031271972257e-43,8.95239372354114e-41
"54","LOC100232903",21.8675022382154,8.94344604220946,72.5600017130122,132.2101047103,58.8952636759343,-2.73251049369282,0.627430503699322,-4.3550807262031,1.33017888530232e-05,6.22737909980965e-05
"55","LOC100232904",92.4398958251834,89.4344604220946,3010.7430847769,6807.32930117395,2499.98668554953,-5.75442475084272,0.355463514197688,-16.1885102718094,6.078238319499e-59,1.30957244130006e-56
"56","LOC100232905",2.98193212339301,0.993716226912162,24.8493156551412,12.9227921897286,10.4369390487937,-3.24809921386125,1.29331080367798,-2.51146066716844,0.0120232683644724,0.0266882395492919
"57","LOC100232906",419.458452023951,318.982908838804,4681.6110694286,7091.63072934798,3127.92078990983,-3.99488567196875,0.26462391502132,-15.096465002594,1.70850597110722e-51,2.75351970209626e-49
"58","LOC100232920",22389.3403598092,19345.667505526,9085.90377614581,7038.94549965139,14464.9642852831,1.37197250855161,0.207934157893094,6.59811029824639,4.16431420115634e-11,4.62229843108828e-10
"59","LOC100232921",4135.93985514611,3251.4394944566,2139.02909159455,1445.36460337426,2742.94326114288,1.04333341769506,0.253255695715689,4.11968392160597,3.79392483075055e-05,0.00016037598809542
"60","LOC100232923",6.95784162125037,2.98114868073649,38.7649324220202,41.7505593822,22.6136205265518,-3.01812520682157,0.86397805806218,-3.49328918559684,0.000477109529618928,0.00156372743830908
"61","LOC100232924",195.813542769475,211.661556332291,443.311791287718,527.846357903529,344.658312073253,-1.25299256953576,0.262358066727773,-4.77588734039533,1.78916543422462e-06,9.90818130619848e-06
"62","LOC100232926",3018.70928624819,2909.60111239881,5657.69218836254,7396.80743721311,4745.70250605566,-1.13885394367569,0.206949274117839,-5.50305841144056,3.73258685103846e-08,2.77712059858434e-07
"63","LOC100232928",3304.97477009392,2872.83361200306,8474.61061102934,11435.6770269721,6522.02400502461,-1.68834678360369,0.218777338925256,-7.71719224622488,1.18920218411511e-14,1.9534984192992e-13
"64","LOC100232934",537.741759585207,491.88953232152,1168.91180841784,1480.15673619276,919.674959129332,-1.36335744334354,0.227642932570374,-5.98901722073917,2.11112812305637e-09,1.86172212075475e-08
"65","LOC100232948",0,0,8.94575363585082,29.8218281301429,9.69189544149843,-6.72834796079969,1.91941851470105,-3.5054095338075,0.000455905409722171,0.00150023664408254
"66","LOC100232954",22.8614796126798,15.8994596305946,2071.43895301257,1600.438109651,927.659500476711,-6.56579159361791,0.334364829075132,-19.6366095434714,7.525799294472e-86,4.66781999876524e-83
"67","LOC100232957",426.416293645201,360.718990369115,188.854798979073,193.841882845929,292.457991459829,1.04040937001949,0.270647439243089,3.8441500607919,0.000120970969363547,0.000457170199581439
"68","LOC100232960",8927.90477743868,8854.01158178737,4807.84559295671,2354.93036134362,6236.17307838159,1.31182039012905,0.307595480976613,4.26475833118234,2.0011868657076e-05,8.99836492896847e-05
"69","LOC100232973",5837.62912022906,4240.1871402342,2372.61265875288,1946.37131596066,3599.2000587942,1.2224190867503,0.232188833702603,5.26476259541413,1.40370629271056e-07,9.4510067102631e-07
"70","LOC100232980",124.247171808042,94.4030415566554,2554.50964934851,3664.10861625689,1609.31711974252,-4.82990250081929,0.27052812795321,-17.8536056023522,2.70963856691045e-71,9.09194789959396e-69
"71","LOC100232990",2703.618458543,2302.44049775548,5004.65217294543,6425.60990110812,4109.08025758801,-1.19111116904167,0.213506650103593,-5.57880126199229,2.42181745164635e-08,1.84479938966496e-07
"72","LOC100233005",419.458452023951,450.15345079121,874.695911060969,1133.22946894543,719.38432070539,-1.20726086432596,0.238152046100567,-5.06928613082818,3.99310549054695e-07,2.49788762776635e-06
"73","LOC100233020",15672.0412631792,16454.9470014385,8091.93114994017,6804.34711836094,11755.8166332297,1.10883396858153,0.1848560985698,5.99836292749003,1.9931666238006e-09,1.76836300199179e-08
"74","LOC100233034",2935.21518679319,2749.61279986595,5815.73383592924,8346.13563268932,4961.67436381943,-1.31682274388872,0.228273028350012,-5.76863045716301,7.99183343804314e-09,6.52740809297154e-08
"75","LOC100233039",19.8795474892868,16.8931758575068,308.13151412375,551.703820407643,224.152014469547,-4.54735749819311,0.434898345857481,-10.4561388690205,1.37338764575284e-25,5.44777099481961e-24
"76","LOC100233041",4284.0424839413,5224.95992110415,2104.24004967735,1892.6920253264,3376.4836200123,1.25040122910255,0.20003618473554,6.25087521418017,4.08158898616031e-10,4.00105188547553e-09
"77","LOC100233045",5096.12199887866,4037.46902994412,1776.22908302949,2268.4470597662,3294.56679290462,1.17515817790551,0.223921776991162,5.24807454503139,1.5369710902401e-07,1.02873526079249e-06
"78","LOC100233057",456.235614879131,460.090613060331,69.5780838343953,92.4476672034429,269.587994744325,2.49964066201787,0.297597454134573,8.39940203550108,4.48757917362824e-17,9.34402548584158e-16
"79","LOC100233065",1691.7494913383,1338.53575765068,334.968775031303,507.965139150101,968.304790792597,1.84596279945923,0.271956239009455,6.78771998827008,1.13919475997316e-11,1.36756823150326e-10
"80","LOC100233068",1.98795474892868,0,13.9156167668791,18.8871578157572,8.69768233289122,-4.04456097206604,1.57706919827473,-2.56460590092729,0.0103293052743079,0.0233252670294058
"81","LOC100233070",7494.58940346111,7610.87258192025,3517.66912414178,2820.15088017385,5360.82049742425,1.25301178216968,0.195749733734333,6.40109060822652,1.54270982586797e-10,1.59073978417459e-09
"82","LOC100233083",1155.99568650202,1365.36609577731,529.78740976761,681.925803242601,933.268748822387,1.05715602088902,0.235231303721241,4.49411283347642,6.98605808506953e-06,3.45388011800007e-05
"83","LOC100233113",491.024822985383,578.342844062878,1577.43455778836,1720.71948310924,1091.88042698647,-1.62489912724859,0.210798737623954,-7.70829629040408,1.27508446162591e-14,2.08287539988501e-13
"84","LOC100233114",109772.873281093,90245.3328632549,50168.7803624776,21688.4215381152,67968.8520112351,1.4769273427246,0.33868523365112,4.36076685954955,1.29607405851762e-05,6.087206018756e-05
"85","LOC100233129",2643.97981607514,2344.17657928579,935.328241259513,1039.78774080432,1740.81809435619,1.33656940253234,0.196869339817988,6.78911913743421,1.12820248689119e-11,1.35755723113985e-10
"86","LOC100240753",153.072515667508,122.227095910196,587.437822087537,1054.69865486939,479.359022133657,-2.57650099481009,0.335988809948603,-7.66841310936584,1.74137263847761e-14,2.81535664805369e-13
"87","LOC100240757",392.621062913413,500.83297836373,201.776443119746,227.639954726757,330.717609780912,1.05701837943348,0.275773802832388,3.832918024037,0.00012663216120728,0.000476278404187912
"88","LOC100240763",20419.2772036209,17944.5276255798,8846.35637323025,9029.05549686959,14059.8041748251,1.1017694591155,0.176209145403096,6.25262358883297,4.03614112661033e-10,3.9583965778371e-09
"89","LOC100240766",19.8795474892868,19.8743245382432,122.258633023295,151.097262526057,78.2774418942205,-2.78161138180908,0.472580854648407,-5.88600099739242,3.9565192531697e-09,3.36443855728614e-08
