"","Row.names","F1_A","F1_B","AF1_A","AF1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","4CL",387.651176041092,416.367099076196,3872.5173516972,5671.11764941551,2586.9133190575,-3.56923745188732,0.242702794442201,-14.7062066594265,5.88131216857204e-49,8.24511626481729e-47
"2","ADH1",431.386180517523,382.580747361183,1301.11016770319,1414.54871430644,882.406452472085,-1.73826102441112,0.212271736521983,-8.18884818531222,2.63737963294879e-16,5.07348555706728e-15
"3","ANR",1242.47171808042,1345.49177123907,13715.8282690117,19820.5810362306,9031.09319864046,-3.69583824780112,0.229597529515897,-16.0970296831754,2.67648458908333e-58,5.59002924177118e-56
"4","AP1",187.86172377376,78.5035819260608,273.342472206553,298.218281301429,209.481514801951,-1.10150625996519,0.422720554136894,-2.60575514766304,0.00916719681858625,0.0210517429016968
"5","AP3",41.7470497275022,46.7046626648716,117.288769892266,160.0438109651,91.4460733124351,-1.64865085558375,0.427235416041818,-3.85888152919977,0.000113907135323171,0.00043367768708978
"6","CBF4",323.04264670091,161.975744986682,10006.3224280122,9578.7711954019,5017.52800377543,-5.33557755109387,0.296938978644674,-17.9685993918588,3.43272340252413e-72,1.25466040362257e-69
"7","CHI4C",484.066981364133,207.686691424642,3352.66966819165,3433.48647871712,1869.47745492438,-3.29426705205459,0.341863271712887,-9.6362122656489,5.62243864349848e-22,1.75305916912368e-20
"8","CHIT3",4.96988687232169,12.9183109498581,284.276171094815,764.432861069329,266.649307496581,-5.87341577373033,0.579588510193812,-10.1337684761319,3.91272678061493e-24,1.43522745063846e-22
"9","CHS",16262.463823611,13183.6331824437,45529.9101159758,65844.6083894802,35205.1538778777,-1.919270358967,0.2371066448054,-8.09454480089412,5.74788856188144e-16,1.0734286777791e-14
"10","CHS3",1283.22479043346,1310.71170329714,14240.6458156483,20048.2209909574,9220.70082508407,-3.72452454660644,0.22185100249406,-16.7884053023658,2.96710780017635e-63,7.49762499432215e-61
"11","CIPK08",41.7470497275022,62.6041222954662,324.035076143041,424.4640203857,213.212567137927,-2.84254199309856,0.354596364980003,-8.01627504912202,1.09000273649661e-15,1.96565427406278e-14
"12","CTR2",223.644909254476,231.535880870534,614.27508299509,1005.98966892349,518.861385510897,-1.83171663072314,0.300028729529688,-6.10513744331903,1.02712255490974e-09,9.4401187489414e-09
"13","DFR",1373.67673150971,1350.46035237363,9080.93391301479,14139.5227774384,6486.14844358414,-3.09152454510679,0.24591372257944,-12.5715820682113,3.02607089348267e-36,2.36403126136654e-34
"14","F3'5'H",4.96988687232169,7.9497298152973,172.951236959782,267.402392233615,113.318311470254,-5.09099529664775,0.572104099067573,-8.89872193704809,5.64934302534354e-19,1.38314297898004e-17
"15","F3'H",3935.15642550431,3922.19794762231,11326.3180756133,14744.9058884803,8482.14458430507,-1.73034240149411,0.203038963058305,-8.52221847191575,1.56525776270442e-17,3.37783350263234e-16
"16","F3H",2905.39586555926,3122.25638495801,21408.1824232172,37440.3111564567,16219.0364575478,-3.28733652749526,0.271242084379659,-12.1195666779125,8.31978501941584e-34,5.56501175743148e-32
"17","G1",4.96988687232169,1.98743245382432,158.041647566698,306.1707688028,117.792433923911,-6.06016562760571,0.710133630004025,-8.53383838133585,1.41570574766255e-17,3.06956199609715e-16
"18","GATA",277.31968747555,282.215408443054,710.690427737037,798.230932950158,517.11411415145,-1.4312163499827,0.231144187694186,-6.19187687244061,5.94519873801644e-10,5.67566827284144e-09
"19","GDH",630.18165541039,636.972101450696,2017.76443119746,2594.49904732243,1469.85430884524,-1.86388276839733,0.217712715985696,-8.56120305127139,1.11695785493598e-17,2.44774019002459e-16
"20","GER6",112.31944331447,105.333920052689,191.83671685769,310.147012553486,179.909273194584,-1.20560748432712,0.363176455432517,-3.3196190620103,0.000901403575601448,0.0027500265889716
"21","HP2",24.8494343616084,21.8617569920676,68.5841112081896,75.5486312630287,47.7109834562236,-1.62555966863523,0.540780909769201,-3.00594869247326,0.00264753666586128,0.00709104690877371
"22","HP3",507.922438351277,406.429936807074,1163.94194528681,1754.51755499007,958.202968858809,-1.67438538153594,0.272153262078892,-6.1523619770193,7.63373988867527e-10,7.19371031498183e-09
"23","HXK2",346.898103688054,282.215408443054,672.919467941223,839.981492332358,535.503618101172,-1.26592651386548,0.255182319483229,-4.96087078614659,7.01778647945306e-07,4.17073326543105e-06
"24","HYD2",263.40400423305,398.480206991777,879.665774191997,554.686003220658,524.05899715937,-1.1157456555144,0.323295711765403,-3.45116132045708,0.000558179824123428,0.0017989016910972
