"","Row.names","CO_A","CO_B","A1_A","A1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","",25.8522200487206,8.94096426447125,101.350104085348,54.7050189662748,47.7120768412038,-2.16524210745891,0.781945032883484,-2.76904643728525,0.00562206215310648,0.0178972527822219
"2","4CL",545.879569490292,387.441784793754,2239.63857459192,4345.56777933918,1879.63192705379,-2.81878408308239,0.366755160694971,-7.68573802135743,1.52117505118209e-14,3.68332542405074e-13
"3","ADH1",450.42521854117,375.520499107792,1713.01548473667,1407.41094249598,986.593036220404,-1.91762849000229,0.283064868594473,-6.77451956339218,1.24820344493962e-11,2.20264772392232e-10
"4","ADH7",6229.39071558594,5437.09971327235,16364.0672958981,7644.77774135979,8918.83386652904,-1.04119484123466,0.359228532251872,-2.89841910582044,0.0037504904491256,0.0126840027429348
"5","ANR",2505.67671241446,1770.31092436531,22044.6412670347,17507.5953426249,10957.0560616098,-3.20943031545726,0.281412393629736,-11.4047227062786,3.96037233922052e-30,3.15734031944972e-28
"6","AP3",22.8692715815605,30.7966546887343,218.598263713497,167.098967024258,109.840789252012,-2.84536861583266,0.506123129352338,-5.62189011095728,1.8887940318729e-08,2.1684216778028e-07
"7","APX",18224.8208181923,22092.1292570346,8936.69447199632,5936.98651290354,13797.6577650317,1.43862476605911,0.287938986744962,4.99628335267206,5.84457664971265e-07,5.16813288139869e-06
"8","CBF4",68.6078147446815,41.7244999008658,11050.1422307173,8283.33450820249,4860.95226339132,-7.45314688631363,0.327504082336114,-22.757416741647,1.21177730349958e-114,2.71572757906518e-111
"9","CBL04",5281.80741918476,5965.61004534998,1224.15027679558,1362.65229061448,3458.5550079862,2.1203533989652,0.243599673851023,8.70425384995356,3.19670825352198e-18,1.08914874110707e-16
"10","CBL06",411.646888468089,369.559856264812,923.080849953811,711.165246561573,603.863210312071,-1.06485300547194,0.303103156604605,-3.51317029291459,0.000442793582995312,0.00199133702765116
"11","CHI1B",146.164474890843,119.212856859617,258.343402570496,359.063851760458,220.696146520354,-1.21817750373113,0.391118422455006,-3.11460016658067,0.00184194404428933,0.00692451299426503
"12","CHI4C",94.4600347934021,144.04886870537,3274.99944181675,2138.46892322711,1412.99431713566,-4.50441997928276,0.343867477349503,-13.0992904999402,3.3234990904765e-39,4.52939031452101e-37
"13","CHI4D",177.982591873884,200.674975713688,80.4839061854238,45.7532885899753,126.223690590743,1.58473215158058,0.485275139809015,3.26563638146447,0.00109218397561779,0.00438569595624344
"14","CHIT3",12.9261100243603,19.8688094766028,649.83302031194,188.980974610768,217.902228605918,-4.67677142808848,0.61925777797463,-7.5522207300884,4.2789847324402e-14,9.90896923689081e-13
"15","CHS",13044.433646891,14697.9518103169,67559.780657599,60303.8289982959,38901.4987782757,-2.20444134321129,0.233714587771896,-9.43219404585395,4.01599047754138e-21,1.70173378008423e-19
"16","CHS3",1395.02556647519,931.84716445267,19480.0861822868,17648.8337552287,9863.94816711086,-3.99608113704842,0.28111981106313,-14.2148684645745,7.40905219989434e-46,1.46510375364577e-43
"17","CIPK08",21.8749554258405,26.8228927934137,498.801492655343,438.634788438676,246.533532328318,-4.26676465468038,0.409368654451464,-10.4227927768374,1.95137440913691e-25,1.111842424641e-23
"18","CIPK10",9154.66884571424,8578.35849152325,27352.604561387,24141.8221881713,17306.863521699,-1.53797712859343,0.231930075423367,-6.63121040160915,3.32945242678583e-11,5.65754468814407e-10
"19","CIPK11",6045.44222677774,6357.02559203906,2394.64461613421,2366.24072946851,4290.83829110488,1.38132568038173,0.23131233496622,5.97169053082903,2.34807622789875e-09,3.10561950929298e-08
"20","CIPK13",22858.3341038476,25700.3050579857,5383.47905818057,7063.9099036088,15251.5070309057,1.96388567701867,0.256344404410971,7.66112169107531,1.84316105394696e-14,4.40480550451543e-13
"21","CTR2",146.164474890843,164.911118655803,1391.07985999498,1005.57771227098,676.933291453151,-2.94568325417451,0.316418246112714,-9.30946078604205,1.28482952486178e-20,5.24595374827167e-19
"22","DFR",1723.1498978628,1541.81961538438,10265.1757382915,11698.916965115,6307.26555416342,-2.75000554765681,0.240256428680652,-11.4461268019267,2.45888578281762e-30,1.98382904957725e-28
"23","ETR1",2410.22236146533,2243.18858990845,1020.45644015346,1055.30954769487,1682.29423480553,1.16464508792785,0.24605800224328,4.7332136216255,2.20992686509895e-06,1.75144302039472e-05
"24","F3'5'H",11.9317938686403,3.97376189532056,53.6559374569492,236.723536617698,76.5712574596521,-4.19041804419304,0.852505388269522,-4.91541531801817,8.85944400510002e-07,7.52083272655166e-06
"25","F3'H",3992.17936521589,4107.87635928762,11074.9829425029,14242.2030286925,8354.31042392473,-1.64411247663437,0.250686518245434,-6.55843995178354,5.43735934281692e-11,8.95277860772386e-10
"26","F3H",3865.90121343945,3280.34044458712,31392.697926201,31816.4390307854,17588.8446537532,-3.14487646222053,0.235150131442347,-13.373909012641,8.59048979234459e-41,1.2930610381462e-38
"27","FAOMT",37.7840139173608,17.8819285289425,167.923211670822,199.921978404023,105.877783130287,-2.72427833393181,0.547775703951932,-4.97334641583679,6.58069128956048e-07,5.7435111774312e-06
