"","CO_A","CO_B","A1_A","A1_B"
"LOC104879287",703.975838249776,833.496557543486,883.335711096812,629.605036466399
"LOC100259472",349.999286813448,173.852082920274,230.521805370597,335.192570756993
"LOC100257674",1160.36695372527,1223.91866375873,643.87124948339,704.202789602229
"LOC104879282",305.255059806047,257.301082722006,1951.48631787867,944.904873053838
"LOC100254292",3251.41382920447,3495.91702740826,2502.95011951954,2964.01739126362
"AP1",119.317938686403,185.773368606236,215.617378299222,132.286682227537
"TRNAI-AAU",11.9317938686403,30.7966546887343,3.97451388569994,2.98391012543317
"LOC100266436",242.613141995685,183.786487658576,227.540919956322,187.98633790229
"LOC100245772",1074.85576433334,860.3194503369,1458.64659605188,1621.25783481869
"LOC100261225",11.9317938686403,1.98688094766028,15.8980555427998,12.9302772102104
"LOC100268093",44.744227007401,48.6785832176768,67.566736056899,104.436854390161
"LOC100256140",1789.76908029604,1613.34732950015,2600.32570971919,2634.79264075749
"LOC100257818",13.9204261800803,21.8556904242631,27.8215971998996,34.8122847967203
"LOC100250986",2798.99997835186,3483.9957417223,4072.88310437101,1889.80974610768
"LOC100252672",341.050441411968,392.408987162905,347.769964998745,442.613335272587
"LOC100247573",1745.02485328864,1858.72712653619,1471.5637661804,1187.5962299224
"LOC100245849",1262.78151776443,1419.62643710327,2376.75930364856,2205.10958269511
"LOC100242441",197.868914988284,240.412594666894,385.527846912894,754.929261734593
"LOC100259261",732.811006765656,879.194819339673,990.64758601071,864.339299667142
"LOC100267868",2462.9211177185,2517.37816068557,1303.64055450958,1303.9687248143
"LOC100249034",96.4486671048422,67.5539522204494,116.254531156723,160.136510064914
"LOC100257592",4503.25786925598,4509.226310715,8923.77730186779,5231.78908659283
"LOC100262720",370.879926083568,373.533618160132,95.3883332567986,219.814712573577
"LOC100266204",2846.72715382642,3054.82945702768,1610.6717521799,1528.75662093026
"LOC100250757",554.828414891772,479.831748859957,1954.46720329295,2037.01597896238
"LOC100245623",1464.62769737559,1605.3998057095,1228.12479068128,2138.46892322711
"LOC100854554",724.856477519896,699.382093576418,1135.71734283876,1950.48258532482
"LOC100854459",49.7158077860011,31.7900951625644,32.7897395570245,41.7747417560644
"LOC100262794",492.186497081411,449.035094171223,492.839721826793,390.892226431746
"LOC100257668",505.112607105771,500.69399881039,373.604305255794,439.629425147154
"LOC100252537",377.840139173608,339.756642049907,656.788419611915,552.023373205137
"LOC100854391",251.561987397166,352.671368209699,292.126770598946,388.90295301479
"LOC100247428",417.612785402409,298.032142149042,311.999340027445,525.168182076238
"LOC100242289",509.089871728651,504.667760705711,724.355155668814,504.280811198206
"LOC100264579",242.613141995685,285.11741598925,160.967812370848,176.050697400557
"LOC100259407",90.482770170522,124.180059228767,78.4966492425738,87.5280303460397
"LOC100252466",158.096268759484,258.294523195836,208.661978999247,569.926833957736
"LOC100247350",1399.99714725379,1142.45654490466,1114.85114493883,1158.75176537655
"LOC100254284",165.056481849524,108.285011647485,343.795451113045,346.133574550248
"LOC100242217",7902.82480566274,8887.31847888442,8325.61296206995,5015.95292085316
"LOC100249185",2688.63088506694,2914.75435021763,2719.56112629018,2196.15785231882
"LOC100264496",185.937121119644,196.701213818367,420.304843412769,397.85468339109
