"","Row.names","AF_A","AF_B","CO_A","CO_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","18Srrn",26543.4493060171,22784.8387413663,44568.8849393519,63772.9720360226,39417.5362556895,1.13510816310268,0.24273807243744,4.6762675162761,2.92143452202623e-06,1.95800111245334e-05
"2","4CL",4380.01612031649,6388.3112878799,595.644313836423,430.625437995554,2948.64929000709,-3.39131317887999,0.277315821638365,-12.229064893753,2.17427172335113e-34,1.6574246402919e-32
"3","5Srrn",297.161361809,303.455150079694,742.546957711302,1414.25244381918,689.353978354794,1.84432152277229,0.334694120630217,5.51046884032353,3.57879162931659e-08,3.43175952934043e-07
"4","ADH1",1471.5715342278,1593.55409413435,491.205715456626,416.771536505081,993.275720080965,-1.75523104548455,0.227118740914263,-7.72825280035849,1.0903265983315e-14,2.2522804914439e-13
"5","ANR",15514.6701413933,22326.3395665191,2733.76638835907,1967.25401164725,10635.5075269797,-3.00890630841443,0.268690160576224,-11.1984238721717,4.15051970290819e-29,2.25342364685471e-27
"6","AP3",132.565996735153,179.917397724846,25.2488919159948,34.634753726184,93.0917600255444,-2.38425097435702,0.462562085982927,-5.15444530930496,2.54382787121122e-07,2.10421128988754e-06
"7","APX",12194.2922902819,5742.43270342066,19883.5023838459,24549.1134411192,15592.3352046669,1.3087349630566,0.336482279041949,3.88946177725288,0.000100466790155653,0.000473079893744588
"8","CBF4",11317.9331843482,10790.0691888993,74.5989988427119,46.179671634912,5557.19526093127,-7.51561998525186,0.268249373010888,-28.0172881706859,1.00053490685069e-172,3.77535171518325e-169
"9","CBL04",2347.93064016153,1400.37089749892,5762.48574137318,6629.09186319162,4034.96978555631,1.72520375713591,0.281825738754144,6.12152660279522,9.26830405407361e-10,1.1221091111456e-08
"10","CHI1B",262.462879442081,326.670298173223,159.527089832876,132.766555950372,220.356705849638,-1.01146164932851,0.319797627438498,-3.16281786525459,0.00156250053866063,0.0053139570670387
"11","CHI4C",3792.81103410709,3867.80949486823,103.290921474524,160.474358931319,1981.09645234529,-4.86035254459213,0.263620606211923,-18.4369219630916,6.64160835893331e-76,2.59251746976293e-73
"12","CHI4D",120.99983594618,69.6454442805855,193.957396991051,222.81691563845,151.854898214067,1.1299411852261,0.398232134695511,2.8373932859287,0.00454835483159962,0.0133976272476584
"13","CHIT3",321.183388063021,861.44781675629,13.7721228632699,21.9353440265832,304.584667927291,-5.05034529427546,0.525567322801984,-9.60932134697852,7.30287209060422e-22,2.59963874420251e-20
"14","CHS",51499.6654699167,74169.0817090959,14231.1936253789,16332.5953654775,39058.1340424672,-2.03973521650586,0.242929454771538,-8.39640964256115,4.60337671218523e-17,1.15543734771478e-15
"15","CHS3",16108.1031603352,22583.3644204118,1521.81957639132,1035.5791364129,10312.2165733878,-3.91925619753736,0.273898853824661,-14.3091369051376,1.91879893408101e-46,2.40008883246376e-44
"16","CIPK08",366.558326542839,478.39787321307,24.1012150107223,30.0167865626928,224.768550332331,-3.96519501586301,0.380112883207743,-10.4316248962704,1.77821042372036e-25,7.78697949575028e-24
"17","CIPK10",24739.1282229373,28571.2144036783,9988.23210658649,9532.63871723671,18207.8033626097,-1.44940360040657,0.193937875924886,-7.47354581199981,7.80622452360423e-14,1.48639969061732e-12
"18","CIPK11",3571.27456976445,2311.56546016991,6595.69917460101,7064.33526835066,4885.71861822151,1.21547483392163,0.258552093434152,4.70108293372292,2.58785376390107e-06,1.75890150749685e-05
"19","CIPK13",9865.04544831795,7466.98656179706,24939.0191515712,28558.6634308204,17707.4286481267,1.62606392728319,0.2252315806634,7.21952011566833,5.21713511741339e-13,9.0649224142931e-12
"20","CTR2",694.859352014459,1133.39669442334,159.527089832876,183.564194748775,542.836832754862,-2.41409330921099,0.317808111128706,-7.59607204686267,3.05254620011588e-14,6.05163274698981e-13
"21","DFR",10271.6404852842,15927.2498170244,1879.89477083634,1713.26581765523,7448.01272270003,-2.86619819801915,0.260252083148801,-11.0131614062062,3.30209398066953e-28,1.69589954404078e-26
"22","ETR1",1520.50529141192,915.340124830552,2629.32778997928,2492.54777649437,1889.43024567903,1.07248423586067,0.281811980809118,3.80567296245332,0.000141419145472485,0.000641243631783908
"23","F3'5'H",195.735028736467,300.967812783959,12.6244459579974,4.6179671634912,128.486313660479,-4.84755836328893,0.566754314997141,-8.55319180642388,1.19730693204328e-17,3.17412516878922e-16
"24","F3'H",12811.7473354779,16608.7802360558,4355.4338555091,4564.86054111105,9585.20549203846,-1.72167766725606,0.216876918631833,-7.93850114672071,2.04639028495932e-15,4.52886373914751e-14
"25","F3H",24215.0921687292,42173.6329616222,4217.7126268764,3644.73058378543,18562.7920852533,-3.07789448822236,0.287539495050705,-10.7042494725102,9.72152215741597e-27,4.67293549137787e-25
