"","Row.names","AF_A","AF_B","CO_A","CO_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","4CL",4380.01612031649,6388.3112878799,595.644313836423,430.625437995554,2948.64929000709,-3.39131317887999,0.277315821638365,-12.229064893753,2.17427172335113e-34,1.6574246402919e-32
"2","ADH1",1471.5715342278,1593.55409413435,491.205715456626,416.771536505081,993.275720080965,-1.75523104548455,0.227118740914263,-7.72825280035849,1.0903265983315e-14,2.2522804914439e-13
"3","ANR",15514.6701413933,22326.3395665191,2733.76638835907,1967.25401164725,10635.5075269797,-3.00890630841443,0.268690160576224,-11.1984238721717,4.15051970290819e-29,2.25342364685471e-27
"4","AP3",132.565996735153,179.917397724846,25.2488919159948,34.634753726184,93.0917600255444,-2.38425097435702,0.462562085982927,-5.15444530930496,2.54382787121122e-07,2.10421128988754e-06
"5","CBF4",11317.9331843482,10790.0691888993,74.5989988427119,46.179671634912,5557.19526093127,-7.51561998525186,0.268249373010888,-28.0172881706859,1.00053490685069e-172,3.77535171518325e-169
"6","CHI1B",262.462879442081,326.670298173223,159.527089832876,132.766555950372,220.356705849638,-1.01146164932851,0.319797627438498,-3.16281786525459,0.00156250053866063,0.0053139570670387
"7","CHI4C",3792.81103410709,3867.80949486823,103.290921474524,160.474358931319,1981.09645234529,-4.86035254459213,0.263620606211923,-18.4369219630916,6.64160835893331e-76,2.59251746976293e-73
"8","CHIT3",321.183388063021,861.44781675629,13.7721228632699,21.9353440265832,304.584667927291,-5.05034529427546,0.525567322801984,-9.60932134697852,7.30287209060422e-22,2.59963874420251e-20
"9","CHS",51499.6654699167,74169.0817090959,14231.1936253789,16332.5953654775,39058.1340424672,-2.03973521650586,0.242929454771538,-8.39640964256115,4.60337671218523e-17,1.15543734771478e-15
"10","CHS3",16108.1031603352,22583.3644204118,1521.81957639132,1035.5791364129,10312.2165733878,-3.91925619753736,0.273898853824661,-14.3091369051376,1.91879893408101e-46,2.40008883246376e-44
