"","AF_A","AF_B","CO_A","CO_B"
"LOC104879287",726.888720353153,599.448288272182,767.795849627296,925.902416279985
"LOC100259472",311.396636626198,374.758819224103,382.176409455739,192.800129075758
"LOC100257674",875.469401257653,815.846633001145,1265.88762651556,1359.99132964816
"LOC104879282",781.160705593719,994.105805862167,332.826302529022,286.313964136454
"LOC100254292",3292.79700615302,3187.93730070061,3547.46931419727,3884.86487628697
"AP1",309.617227274048,335.790534924252,129.687490295791,206.654030566231
"LOC100232936",46.2646431558923,29.0189351169106,6.88606143163495,2.3089835817456
"TRNAI-AAU",3.5588187042994,6.63289945529386,12.6244459579974,34.634753726184
"LOC100266436",142.352748171976,189.037634475875,265.113365117945,204.345046984486
"LOC100245772",1411.07161625471,2023.03433386463,1172.92579718849,955.919202842678
"LOC100261225",2.66911402822455,10.7784616148525,12.6244459579974,2.3089835817456
"LOC100268093",74.7351927902875,155.044024767494,49.3501069267171,54.2611141710216
"LOC100256140",2458.25401999481,3652.24026257118,1952.19841586851,1792.92575122546
"LOC100257818",32.9190730147695,15.7531362063229,14.9197997685424,24.2443276083288
"LOC100250986",1749.15939316316,1944.26865283301,3053.9682449301,3871.0109747965
"LOC100252672",549.837489814258,445.2333759366,371.847317308287,436.397896949918
"LOC100247573",1241.13802312442,1180.65610304231,1903.99598584706,2065.38581387144
"LOC100245849",1809.65931113625,2332.2932709677,1377.21228632699,1577.03578633224
"LOC100242441",679.734372521186,764.441662222617,215.763258191228,266.687603691617
"LOC100259261",784.719524298019,798.435271930998,799.930802974926,976.700055078389
"LOC100267868",1896.85036939158,1426.90249532009,2686.7116352429,2797.33360928479
"LOC100249034",86.3013535792605,152.556687471759,105.586275285069,75.041966406732
"LOC100257592",4675.39807277334,5817.05282229271,4913.20483147153,5010.49437238795
"LOC100262720",320.293683386946,268.632427939401,405.129947561189,415.617044714208
"LOC100266204",2032.97518483103,1517.27575039847,3105.61370566736,3394.20586516603
"LOC100250757",1629.04926189305,2647.35599509416,604.825729078603,533.375207383233
"LOC100245623",2436.90110776902,2256.84403966374,1597.56625213931,1783.68981689848
"LOC100854554",2334.58507002041,2440.07788711623,790.749387732746,776.972975257394
"LOC100854459",39.1470057472934,43.1138464594101,53.9408145478071,35.7892455170568
"LOC100262794",529.374282264536,510.733258057627,537.112791667526,498.740453657049
"LOC100257668",461.756726882848,451.037162959982,550.884914530796,556.465043200689
"LOC100252537",572.969811392204,711.378466580266,412.016008992824,377.518815615406
"LOC100854391",361.22009848639,543.897755334096,274.294780360125,391.372717105879
"LOC100247428",637.918252745668,552.188879653214,455.627731393179,331.339143980494
"LOC100242289",595.212428294075,595.302726112624,555.475622151886,561.083010364181
"LOC100264579",119.22042659403,127.683314514407,265.113365117945,316.330750699147
"LOC100259407",131.676292059078,72.9618940082324,98.7002138534342,138.539014904736
"LOC100252466",451.080270769949,540.58130560645,172.151535790874,287.468455927327
"TRNAP-AGG",0.889704676074851,2.4873372957352,5.73838452636245,1.1544917908728
"LOC100247350",1318.54232994293,1435.19361963921,1527.55796091769,1269.94096996008
"LOC100254284",277.587858935353,407.923316500572,180.185274127781,120.067146250771
"LOC100242217",5693.22022220297,6003.60311947285,8622.49658931222,9875.52277912593
"LOC100249185",2511.6363005593,2377.89445472285,2933.46216987649,3239.50396518908
"LOC100264496",478.66111572827,674.068407144238,203.138812233231,218.198948474959
"LOC100259322",152.1394996088,117.733965331466,29.8395995370848,25.3988193992016
"LOC100853084",313.176045978348,285.214676577636,151.493351495969,161.628850722192
"LOC100254211",1466.23330617135,1894.52190691831,2266.66188791317,2719.98265929632
"LOC100244013",149.470385580575,219.714794456609,83.7804140848918,120.067146250771
"LOC100243945",2812.3564810726,2800.74179499783,2321.75037936625,1945.31866762067
"LOC100261141",2576.58474191277,1440.99740666259,2344.7039174717,2381.71656457059
"LOC100256055",92.5292863117845,81.2530183273498,70.0082912216219,108.522228342043
"LOC100249104",87.1910582553354,154.214912335582,3.44303071581747,1.1544917908728
"LOC100266271",3453.83355252257,4143.90393469484,2778.5257876647,3538.51733902513
"LOC100261061",10262.7434385234,11197.1633929679,1722.66303481401,1071.36838192996
"LOC100250913",1321.21144397115,1182.31432790613,1716.92465028765,1420.02490277354
"LOC100245765",68.5072600577635,72.1327815763207,12.6244459579974,3.4634753726184
"LOC100262937",1355.90992633807,1400.37089749892,1129.31407478813,1009.02582522283
"LOC109122923",145.021862200201,163.335149086611,167.560828169784,169.710293258302
"LOC100257811",332.749548851994,280.240001986166,138.868905537971,151.238424604337
"LOC100252667",66.7278507056138,48.0885210508805,44.7593993056271,39.2527208896752
"LOC100247567",16.0146841693473,19.0695859339698,1.14767690527249,1.1544917908728
"LOC100264718",1260.71152599806,1164.90296683598,1324.41914868445,1305.73021547714
"LOC109122935",1589.01255146968,1264.39645866539,2010.7299380374,2438.28666232335
"LOC100245694",1532.07145220089,1688.07291137229,1719.22000409819,1605.89808110406
"LOC100259545",2358.60709627443,1964.99646363081,3464.83657701765,3126.36376968354
"LOC100249028",194.845324060392,194.841421499257,257.079626781038,296.70439025431
"LOC100262861",6389.85898356958,7375.78419428677,493.501069267171,569.16445290029
"MIR398A",24.9117309300958,33.1644972764693,61.9745528847145,32.3257701444384
"LOC100252601",383.462715388261,359.834795449692,674.834020300225,933.983858816095
"LOC100247494",2298.10717830134,1926.02817933095,3323.67231766913,3171.38894952758
"LOC100266199",677.954963169036,445.2333759366,623.188559562963,786.208909584377
"LOC100260996",25.8014356061707,53.0631956423509,13.7721228632699,35.7892455170568
"LOC100255915",54.2719852405659,86.2276929188202,81.4850602743469,64.6515402888768
"LOC104879181",922.62374908962,766.099887086441,1084.5546754825,955.919202842678
"LOC100267935",226.874692399087,181.575622588669,171.003858885601,185.873178330521
"LOC100262788",175.271821186746,223.860356616168,294.95296465503,299.013373836055
"LOC100242357",2864.84905696102,3071.03244780106,3055.11592183537,2902.39236225422
"LOC100257664",9.78675143682336,14.0949113424994,1.14767690527249,3.4634753726184
"LOC100244008",96.0881050160839,57.2087578019095,0,0
"LOC109123387",22.2426169018713,10.7784616148525,40.1686916845372,4.6179671634912
"LOC109123391",23.1323215779461,16.5822486382346,42.4640454950822,46.179671634912
"LOC100261136",67.6175553816887,37.310059436028,89.5187986112543,92.359343269824
"LOC100256051",210.86000822974,183.233847452493,260.522657496855,225.125899220196
"LOC109123055",927.072272469995,742.055626561,693.196850784585,595.717764090365
"LOC100252664",1205.54983608142,1211.33326302304,1179.81185862012,975.545563287516
"LOC100247562",1257.15270729376,1043.02343934496,1658.39312811875,2220.08771384839
"LOC100853109",297.161361809,293.505800896753,457.923085203724,553.001567828071
"LOC100264713",499.124323277991,490.834559691746,509.568545940986,484.886552166576
"LOC100264641",949.314889371866,1246.15598516333,1075.37326024032,1078.29533267519
"LOC100259539",166.374774425997,197.328758794992,184.775981748871,184.718686539648
"LOC100259464",2538.32744084155,1706.31338487435,2829.02357149669,2924.3277062808
"LOC104877428",97.8675143682336,138.461776129259,70.0082912216219,64.6515402888768
"LOC100249022",154.808613637024,142.607338288818,68.8606143163495,41.5617044714208
"LOC100254353",1605.91694031511,1093.59929769157,939.94738541817,1291.87631398666
"LOC100243868",647.705004182492,533.119293719244,747.137665332392,955.919202842678
"LOC100249255",1102.34409365674,1642.47172761714,967.49163114471,1112.93008640138
"LOC100266192",610.337407787348,584.524264497771,624.336236468235,585.327337972509
"LOC109121493",1.7794093521497,9.12023675102906,0,0
"LOC100260989",160.146841693473,329.157635468958,143.459613159061,161.628850722192
"LOC100262784",2.66911402822455,4.14556215955866,4.59070762108996,2.3089835817456
"LOC100244086",991.131009147384,979.181782087756,1222.2759041152,1175.27264310851
"LOC100266425",2766.98154259279,2888.62771278048,3035.60541444574,3122.90029431092
"LOC100261218",410.153855670506,430.309352162189,640.40371314205,722.711861086373
"LOC100256132",410.153855670506,499.954796442775,595.644313836423,712.321434968517
"LOC100250979",23.1323215779461,27.3607102530872,9.18141524217993,12.6994096996008
"LOC109121469",2213.58523407423,2904.3808489868,1929.24487776306,1298.8032647319
"LOC100247417",3095.28256806441,1695.53492325949,4193.61141186568,4298.17293741943
"LOC100242282",121.889540622255,127.683314514407,99.8478907587067,56.5700977527672
"LOC100264569",24.022026254021,22.3860356616168,0,0
"LOC100259396",22.2426169018713,26.5315978211754,4.59070762108996,1.1544917908728
"LOC100245839",4799.95672742382,2819.8113809318,4613.66115919541,4992.02250373399
"LOC100254274",8.00734208467366,10.7784616148525,13.7721228632699,25.3988193992016
"LOC100855197",0,2.4873372957352,5.73838452636245,2.3089835817456
"LOC100855161",476.88170637612,584.524264497771,142.311936253789,120.067146250771
"LOC100266338",3933.38437292692,3173.0132769262,2988.55066132957,3822.52231957984
"LOC100855130",150.36009025665,137.632663697348,159.527089832876,136.23003132299
"LOC100261132",197.514438088617,193.183196635434,250.193565349403,309.40379995391
"LOC100855064",88.0807629314102,73.7910064401442,73.4513219374394,122.376129832517
"LOC100268160",1656.63010685137,1704.65516001052,3850.45601718921,4256.61123294801
"LOC100256047",1254.48359326554,1248.64332245907,1673.31292788729,2134.65532132381
"LOC100250903",341.646595612743,332.474085196605,439.560254719364,630.352517816549
"LOC100854962",228.654101751237,233.809705799109,347.746102297565,445.633831276901
"LOC100245755",2122.83535711459,1976.60403767757,2047.45559900612,2250.10450041109
"LOC100262925",1323.88055799938,1277.66225757598,2394.05402439842,2846.97675629232
