"","AF_A","AF_B","CO_A","CO_B"
"LOC104879287",817,723,669,802
"LOC100259472",350,452,333,167
"LOC100257674",984,984,1103,1178
"LOC104879282",878,1199,290,248
"LOC100254292",3701,3845,3091,3365
"LOC100254361",5,2,0,0
"LOC100855079",9,0,0,0
"AP1",348,405,113,179
"LOC100232936",52,35,6,2
"TRNAI-AAU",4,8,11,30
"LOC100266436",160,228,231,177
"LOC100245772",1586,2440,1022,828
"LOC100261225",3,13,11,2
"LOC100268093",84,187,43,47
"LOC100256140",2763,4405,1701,1553
"LOC100262943",0,0,0,0
"LOC100257818",37,19,13,21
"LOC100250986",1966,2345,2661,3353
"LOC100252672",618,537,324,378
"LOC100247573",1395,1424,1659,1789
"LOC100245849",2034,2813,1200,1366
"LOC100242441",764,922,188,231
"LOC100259261",882,963,697,846
"LOC100267868",2132,1721,2341,2423
"LOC100254136",0,0,0,0
"LOC100249034",97,184,92,65
"LOC104879402",3,1,1,0
"LOC100257592",5255,7016,4281,4340
"LOC100262720",360,324,353,360
"LOC100266204",2285,1830,2706,2940
"LOC100250757",1831,3193,527,462
"LOC100245623",2739,2722,1392,1545
"LOC100854554",2624,2943,689,673
"LOC100854459",44,52,47,31
"LOC100262794",595,616,468,432
"LOC100257668",519,544,480,482
"LOC100252537",644,858,359,327
"LOC100854391",406,656,239,339
"LOC100247428",717,666,397,287
"LOC100242289",669,718,484,486
"TRNAG-CCC",2,2,1,3
"LOC100264579",134,154,231,274
"LOC100259407",148,88,86,120
"LOC100252466",507,652,150,249
"TRNAP-AGG",1,3,5,1
"LOC100247350",1482,1731,1331,1100
"LOC100254284",312,492,157,104
"LOC100242217",6399,7241,7513,8554
"LOC100249185",2823,2868,2556,2806
"LOC100264496",538,813,177,189
"LOC100259322",171,142,26,22
"LOC100853084",352,344,132,140
"LOC100254211",1648,2285,1975,2356
"LOC100244013",168,265,73,104
"LOC100243945",3161,3378,2023,1685
"LOC100261141",2896,1738,2043,2063
"LOC100256055",104,98,61,94
"LOC100249104",98,186,3,1
"LOC100266271",3882,4998,2421,3065
"LOC100261061",11535,13505,1501,928
"LOC100250913",1485,1426,1496,1230
"LOC100245765",77,87,11,3
"LOC100262937",1524,1689,984,874
